,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,02/01/2014,"28 CHERRYFIELD RD, WALKINSTOWN, DUBLIN 12",,Dublin,"�95,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3295876,53.3157343,28,Cherryfield Road,Walkinstown,,County Dublin,D12 K8P9
1,02/01/2014,"32 KILCROSS SQ, SANDYFORD, DUBLIN 18",,Dublin,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.235436099999999,53.27071489999999,32,Kilcross Square,,,County Dublin,
2,02/01/2014,"70 EDENMORE AVENUE, RAHENY, DUBLIN 5",,Dublin,"�141,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1875431,53.38689919999999,70,Edenmore Avenue,,Dublin 5,County Dublin,D05 V2F9
3,02/01/2014,"76 CABRA DR, PHIBSBOROUGH, DUBLIN 7",,Dublin,"�155,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.291968199999999,53.3606641,76,Cabra Drive,Cabra East,Dublin 7,County Dublin,D07 F228
4,03/01/2014,"18 ALBERT COLLEGE CRESCENT, GLASNEVIN, DUBLIN 9",,Dublin,"�257,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2637429,53.38576320000001,18,Albert College Crescent,Whitehall,Dublin 9,County Dublin,D09 PT02
5,03/01/2014,"19 FORTFIELD DR, TERENURE, DUBLIN 6W",,Dublin,"�850,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.300532,53.30177949999999,19,Fortfield Drive,,Dublin 6W,County Dublin,D6W HX61
6,03/01/2014,"25 BEECHLAWN AVE, WOODVILLE ESTATE, COOLOCK DUBLIN 5",,Dublin,"�176,666.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2081877,53.39152900000001,25,Beechlawn Avenue,Kilmore,Dublin 5,County Dublin,D05 EY00
7,03/01/2014,"29 THE LODGE, GOLDENRIDGE, RUSH",,Dublin,"�190,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.092740399999999,53.52528909999999,,Golden Ridge Way,Rush,,County Dublin,
8,03/01/2014,"29 THOMAS ST (UPPER FLOORS), DUBLIN 8",,Dublin,"�121,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.280832699999999,53.3429151,29,Thomas Street,Saint Catherine's,Dublin 8,County Dublin,D08 X3T0
9,03/01/2014,"34 MOUNTDOWN PARK, MOUNTDOWN EAST, TERENURE DUBLIN 12",Dublin 12,Dublin,"�640,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3265515,53.30650559999999,34,Mountdown Park,,Dublin 12,County Dublin,D12 H668
10,03/01/2014,"37 CASTLECURRAGH VALE, MULHUDDART, DUBLIN 15",,Dublin,"�129,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3899636,53.40411599999999,37,Castlecurragh Vale,Buzzardstown,Dublin 15,County Dublin,D15 V6X8
11,03/01/2014,"55 College Square, Terenure",Dublin 6w,Dublin,"�447,200.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.3076816,53.307099,55,College Square,,Dublin 6W,County Dublin,D6W KR12
12,03/01/2014,"80 GRANGE RD, BALDOYLE, DUBLIN 13",,Dublin,"�317,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1397172,53.39692119999999,80,Grange Road,Baldoyle,Dublin 13,County Dublin,D13 R5X0
13,03/01/2014,"96 ST STEPHENS GREEN, DUBLIN 2, DUBLIN",,Dublin,"�530,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.261714,53.3371897,96,Saint Stephen's Green,Saint Kevin's,Dublin 2,County Dublin,D02 WY62
14,06/01/2014,"14 Clyde Lane, Ballsbridge, Dublin 4",,Dublin,"�770,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2368649,53.3286769,14,Clyde Lane,Ballsbridge,,County Dublin,D04 F9R2
15,06/01/2014,"15 MOUNTJOY ST MIDDLE, BROADSTONE, DUBLIN 7",,Dublin,"�130,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2699817,53.3545396,15,Mountjoy Street Middle,,,County Dublin,D07 N9P3
16,06/01/2014,"16 DAWSON COURT, CROSS AVE, BLACKROCK",,Dublin,"�226,100.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2137666,53.3101231,16,Woodbine Road,Priesthouse,,County Dublin,A94 F2Y4
17,06/01/2014,"241 BELLEVUE, NEPTUNE, HOUSE ISLAND BRIDGE",,Dublin,"�221,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.310264999999999,53.3470874,,Island Bridge,Kilmainham,Dublin 8,County Dublin,
18,06/01/2014,"336, LE FANU ROAD, BALLYFERMOT DUBLIN 10",,Dublin,"�52,250.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.353972499999999,53.3387186,336,Le Fanu Road,Kylemore,Dublin 10,County Dublin,D10 RW90
19,06/01/2014,"44 CARROW RD, DUBLIN 12, DUBLIN",,Dublin,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.322592200000001,53.332483,44,Carrow Road,,Dublin 12,County Dublin,D12 N827
20,06/01/2014,"44 Slade Castle Avenue, Saggart",,Dublin,"�163,876.65",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.4459987,53.27898279999999,44,Slade Castle Avenue,Moneyatta Commons,,County Dublin,D24 AT2Y
21,06/01/2014,"47 WELLMOUNT CRESCENT, FINGLAS, DUBLIN",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.310078499999999,53.38422509999999,47,Wellmount Crescent,,Dublin 11,County Dublin,D11 YY3V
22,06/01/2014,"5 cherangani, Old Navan Road, Dublin 15",Dublin 15,Dublin,"�427,312.78",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,-6.359900000000001,53.3806359,15,Old Navan Road,Castleknock,,County Dublin,D15 V440
