,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
17,05/01/2015,"Abbotsford, Brighton Road, Foxrock",Dublin 18,Dublin,"�1,739,391.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1802095,53.261677,,Brighton Road,Kerrymount,Dublin 18,County Dublin,
18,05/01/2015,"The Grange, 1 and 2 FITZWILLIAM PLACE NORTH, DUBLIN 7",Dublin 7,Dublin,"�354,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.279570199999999,53.35214320000001,2,Fitzwilliam Place North,,,County Dublin,D07 N2R8
19,06/01/2015,"108 RATHLIN HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER",Dublin 1,Dublin,"�310,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2417503,53.3496876,,Mayor Street Lower,,Dublin 1,County Dublin,
20,06/01/2015,"119 Lwr Churchtown Rd, Dundrum",,Dublin,"�371,999.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.254122199999999,53.2969772,119,Churchtown Road Lower,Churchtown Lower,Dublin 14,County Dublin,D14 TY20
21,06/01/2015,"126 KILMACUD ROAD LOWER, STILLORGAN",,Dublin,"�620,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2171214,53.28860719999999,126,Lower Kilmacud Road,Stillorgan,,County Dublin,A94 EK79
22,06/01/2015,"127 THORNFIELD SQUARE, WATERY LANE, CLONDALKIN",,Dublin,"�90,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.393098999999999,53.3243492,,Watery Lane,Clondalkin,Dublin 22,County Dublin,
23,06/01/2015,"13 CROFTWOOD GARDENS CHERRY ORCHARD, DUBLIN 10, DUBLIN",Dublin 10,Dublin,"�20,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.366318199999999,53.3368015,13,Croftwood Gardens,Cherry Orchard,Dublin 10,County Dublin,D10 XY01
24,06/01/2015,"146 GLEANN NA RI, VALLEY AVE, DRUID VALLEY DUBLIN 18",Dublin 18,Dublin,"�212,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.143548,53.2467729,18,Gleann na Ri,Cherrywood,Dublin 18,County Dublin,D18 VWK7
25,06/01/2015,"158 Castlemoyne, Balgriffin",Dublin 13,Dublin,"�462,555.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,-6.1667669,53.4103706,158,Castlemoyne,Balgriffin,,County Dublin,D13 PY01
26,06/01/2015,"180  St. Margarets Road, Hampton Wood",Dublin 11,Dublin,"�160,352.43",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.284775700000001,53.4059827,180,Saint Margaret's Road,,Dublin 11,County Dublin,D11 A3W6
27,06/01/2015,"2 CHALFONT PARK, MALAHIDE, DUBLIN",,Dublin,"�695,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1633284,53.4513721,2,Chalfont Park,Malahide,,County Dublin,K36 PV24
28,06/01/2015,"20 MOUNT GARRETT AVE, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,"�210,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.3919634,53.4224867,20,Mount Garrett Drive,Hollystown,Dublin 15,County Dublin,D15 VK7P
29,06/01/2015,"20 PROSPECT GROVE, PROSPECT MANOR, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"�450,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.300644399999999,53.2761594,20,Prospect Grove,,Dublin 16,County Dublin,D16 P7W7
30,06/01/2015,"21 AUBURN HOUSE, RATHMINES PARK, DUBLIN 6",Dublin 6,Dublin,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.265737499999999,53.3192523,6,Rathmines Road Upper,Rathmines,,County Dublin,
31,06/01/2015,"233 PACE RD, LITTLE PACE PADDOCKS, CLONEE DUBLIN 15",Dublin 15,Dublin,"�255,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.426044699999999,53.4061193,233,Pace Road,Littlepace,,County Dublin,D15 N250
32,06/01/2015,"24 GRANGE PARK CRESCENT, RAHENY, DUBLIN",Dublin 5,Dublin,"�310,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.168228000000001,53.3860736,24,Grange Park Crescent,Donaghmede,Dublin 5,County Dublin,D05 X6W0
33,06/01/2015,"26 DODDER VIEW COTTAGES, BALLSBRIDGE, DUBLIN",Dublin 4,Dublin,"�400,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2301426,53.3300525,26,Dodder View Cottages,,,County Dublin,D04 E5R6
34,06/01/2015,"26 RIDGEWOOD SQ, FOREST RD, SWORDS",,Dublin,"�205,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2491682,53.4472795,26,Ridgewood Square,,,County Dublin,K67 WV82
35,06/01/2015,"32 THE CHANDLER, ARRAN QUAY, DUBLIN 7",Dublin 7,Dublin,"�100,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.280339,53.350615,32,Brunswick Street North,,,County Dublin,D07 A070
36,06/01/2015,"40 ADAIR, SANDYMOUNT AVE, DUBLIN 4",Dublin 4,Dublin,"�335,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2157411,53.3324995,,,,,County Dublin,
37,06/01/2015,"44 CROYDON GREEN, MARINO, DUBLIN 3",Dublin 3,Dublin,"�365,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2366015,53.3676569,44,Croydon Green,Ballybough,Dublin 3,County Dublin,D03 P3C9
38,06/01/2015,"44 MOUNT PLEASANT SQUARE, RANELAGH, DUBLIN 6",,Dublin,"�1,045,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.260163599999999,53.3266151,44,Mountpleasant Square,Ranelagh,Dublin 6,County Dublin,D06 XK44
39,06/01/2015,"511 VANTAGE EAST, CENTRAL PARK, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,"�340,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2032015,53.2709297,,,Tipperstown,,County Dublin,
40,06/01/2015,"6 CURRAGH HALL RD, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,"�188,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3867536,53.4152415,6,Curragh Hall Road,Tyrrelstown,,County Dublin,D15 X2T0
41,06/01/2015,"6A Church Street, Finglas, Dublin 11",Dublin 11,Dublin,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3006822,53.3872989,11,Church Street,Finglas,Dublin 11,County Dublin,D11 E129
42,06/01/2015,"84 ST JOHNS WOOD, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.400252999999999,53.3176928,84,Saint John's Wood,Brideswell Commons,Dublin 22,County Dublin,D22 T6X7
43,06/01/2015,"9 0BRIENS PLACE, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.255457799999999,53.3675992,,,Drumcondra,,County Dublin,
44,06/01/2015,"APARTMENT 13 MOUNTGORRY WOOD, MALAHIDE ROAD, SWORDS",,Dublin,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.207367899999999,53.45345870000001,,Malahide Road,Mountgorry,,County Dublin,
45,06/01/2015,"DUINCH, HOLLYSTOWN, DUBLIN 15",Dublin 15,Dublin,"�800,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3763963,53.4294974,,,Hollystown,Dublin 15,County Dublin,
46,07/01/2015,"102 SHANAGARY, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,"�342,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2495821,53.3088793,,Milltown Road,Rathmines,Dublin 6,County Dublin,
47,07/01/2015,"14 JOHNSTOWN PARK, BALLYGALL RD EAST, DUBLIN 11",Dublin 11,Dublin,"�340,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2792973,53.3841988,14,Johnstown Park,Glasnevin,Dublin 11,County Dublin,D11 TR70
48,07/01/2015,"14 WILLOW GATE, BEECHLAWN, MEADOWBROOK DUBLIN 14",Dublin 16,Dublin,"�435,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2528998,53.2863201,14,Willow Gate,Dundrum,Dublin 16,County Dublin,D16 EY97
49,07/01/2015,"15 THE TANNERY, 50 CORK ST, DUBLIN 8",Dublin 8,Dublin,"�200,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2871773,53.3365994,,Cork Street,Saint Catherine's,Dublin 8,County Dublin,
50,07/01/2015,"16 HANOVER COURT, FRANCIS ST, DUBLIN 8",Dublin 8,Dublin,"�271,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2734279,53.34072219999999,16,Hanover Lane,The Liberties,Dublin 8,County Dublin,
51,07/01/2015,"16 The Green, Miller's Glen, Swords",,Dublin,"�363,854.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,-6.2101953,53.46476510000001,16,The Green,Seatown West,,County Dublin,
52,07/01/2015,"18 The Chestnut, Grattan Hall, The Hole in the Wall Road",Dublin 13,Dublin,"�200,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2424066,53.3388319,,Mount Street Lower,,Dublin 2,County Dublin,
53,07/01/2015,"19 RAVENSDALE DR, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,"�430,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.299511400000001,53.3137988,19,Ravensdale Drive,,Dublin 12,County Dublin,D12 PX59
54,07/01/2015,"2 Glencarrig, Brides Glen Road, Rathmichael",,Dublin,"�704,846.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,-6.137156999999999,53.2386981,,Falls Road,,Dublin 18,County Dublin,
55,07/01/2015,"21 Oakdown Road, Churchtown",Dublin 14,Dublin,"�505,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2620876,53.29398699999999,21,Oakdown Road,,Dublin 14,County Dublin,D14 A393
56,07/01/2015,"28 BEAVERBROOK, DONABATE, DUBLIN",,Dublin,"�589,750.00",No,No,Second-Hand Dwelling house /Apartment,,-6.148554,53.4961787,28,Beaverbrook,Beaverstown,,County Dublin,K36 X339
57,07/01/2015,"4 ARRANMORE RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"�1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2385554,53.3251721,4,Arranmore Road,,Dublin 4,County Dublin,D04 K6V9
58,07/01/2015,"4 The Green, Millers Glen, Swords",,Dublin,"�268,722.47",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.219740600000001,53.4557467,,,,,County Dublin,
59,07/01/2015,"42 GANDON CLOSE, HAROLDS CROSS RD, HAROLDS CROSS DUBLIN 6",,Dublin,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.275869999999999,53.3290658,6,Harold's Cross Road,Rathmines,,County Dublin,
60,07/01/2015,"44 DONNYCARNEY ROAD, DONNYCARNEY, DUBLIN 9",,Dublin,"�308,511.10",No,No,Second-Hand Dwelling house /Apartment,,-6.224531799999999,53.3743452,44,Donnycarney Road,Grace Park,,County Dublin,D09 KT63
61,07/01/2015,"5 THULLA, DUNBO HILL, HOWTH",,Dublin,"�890,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.0714105,53.3877264,,Dunbo Hill,,,County Dublin,
62,07/01/2015,"53 RINGSEND RD, RINGSEND, DUBLIN 4",Dublin 4,Dublin,"�6,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2353345,53.3418769,21,Ringsend Road,,,County Dublin,
63,07/01/2015,"54 ROLLINS VILLAS, SALLYNOGGIN, DUNLAOGHAIRE",,Dublin,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1410722,53.2796476,54,Rollins Villas,Honeypark,,County Dublin,A96 DH73
64,07/01/2015,"59 VALLEY PARK RD, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,"�163,002.00",No,No,Second-Hand Dwelling house /Apartment,,-6.319414,53.3817536,59,Valley Park Road,Finglas South,,County Dublin,D11 K4K8
65,07/01/2015,"6 ROEBUCK AVE, THE RISE, MT MERRION",,Dublin,"�1,200,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2069031,53.2991107,6,Roebuck Avenue,Merrion,,County Dublin,A94 E827
66,07/01/2015,"610 The Cube 1, Beacon South Quarter, Sandyford",Dublin 18,Dublin,"�420,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2158203,53.27672889999999,,,,,County Dublin,D18 WD39
67,07/01/2015,"63 WOODFORD DOWNS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"�232,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3772765,53.3256842,63,Woodford Downs,Knockmitten,Dublin 22,County Dublin,D22 A392
68,07/01/2015,"66 BUSHY PARK RD, TERENURE, DUBLIN 6",Dublin 6,Dublin,"�950,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2798669,53.30761,66,Bushy Park Road,,,County Dublin,D06 K7D0
69,07/01/2015,"7 BRIGHTON AVE, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"�600,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.278661,53.3172998,7,Brighton Avenue,,Dublin 6,County Dublin,D06 FP66
70,07/01/2015,"8 STOCKTON GROVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"�725,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3573417,53.3720338,8,Stockton Grove,Castleknock,Dublin 15,County Dublin,D15 ACN6
71,07/01/2015,"Apartment B Coliemore Apartments, Coliemore Road, Dalkey",Dublin 6,Dublin,"�550,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.0938072,53.2749914,,Coliemore Road,Dalkey,,County Dublin,
72,07/01/2015,"APT 1 10 ANNESLEY PLACE, DUBLIN 3, DUBLIN",Dublin 3,Dublin,"�182,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2407346,53.3596936,10,Annesley Place,,,County Dublin,D03 KP52
73,07/01/2015,"APT 1, 14 WELLINGTON QUAY, DUBLIN 2",Dublin 2,Dublin,"�190,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.265955399999999,53.345435,14,Wellington Quay,Temple Bar,Dublin 2,County Dublin,D02 DE42
74,07/01/2015,"APT 1, 82 SOUTH CIRCULAR RD, DUBLIN 8",,Dublin,"�147,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2736879,53.33235209999999,82,South Circular Road,Portobello,Dublin 8,County Dublin,D08 FC62
75,07/01/2015,"APT 2, 14 WELLINGTON QUAY, DUBLIN 6",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 CH26
76,07/01/2015,"APT 3, 14 WELLINGTON QUARY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659004,53.3454582,14 / 15,Wellington Quay,Temple Bar,Dublin 2,County Dublin,D02 KW44
77,07/01/2015,"APT 4, 14 WELLINGTON QUARY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 YT35
78,07/01/2015,"APT 5, 14 WELLINGTON QUAY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 CY23
79,07/01/2015,"APT 6, 14 WELLINGTON QUAY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.265955399999999,53.345435,14,Wellington Quay,Barra an Teampaill,Dublin 2,Contae Bhaile Átha Cliath,D02 DE42
80,07/01/2015,"APT 7, 14 WELLINGTON QUAY, DUBLIN 2",Dublin 15,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 EC44
81,07/01/2015,"APT 8, 14 WELLINGTON QUAY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 KD53
82,07/01/2015,"APT 9, 14 WELLINGTON QUAY, DUBLIN 2",,Dublin,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2659581,53.3454286,14/15,Wellington Quay,Temple Bar,Dublin 8,County Dublin,D02 RD90
83,07/01/2015,"COASTGUARD HOUSE, ROGERSTOWN, RUSH",,Dublin,"�307,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.11297,53.51503,,Rogerstown Court,,,County Dublin,
84,07/01/2015,"LOUGHGALL, MART LANE, FOXROCK DUBLIN 18",Dublin 18,Dublin,"�2,800,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1717854,53.2696384,,Mart Lane,Cornelscourt,Dublin 18,County Dublin,
85,08/01/2015,"11 BERRYFIELD CRESCENT, FINGLAS SOUTH, DUBLIN",Dublin 11,Dublin,"�60,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3108265,53.3821695,11,Berryfield Crescent,Finglas South,,County Dublin,D11 YCN4
86,08/01/2015,"11 BREMEN AVE, IRISHTOWN, DUBLIN 4",Dublin 4,Dublin,"�108,333.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.218532499999999,53.3389513,11,Bremen Avenue,,Dublin 4,County Dublin,D04 CP59
87,08/01/2015,"131 THE BELFRY, ENNISKERRY RD, STEPASIDE",Dublin 18,Dublin,"�174,250.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.2246101,53.2608182,,Belarmine Avenue,,Dublin 18,County Dublin,
88,08/01/2015,"15 Castleland Park Way, Balbriggan",,Dublin,"�189,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.1793653,53.59916399999999,15,Castleland Park way,Castleland,,County Dublin,K32 CH58
89,08/01/2015,"18 ALTAMOUNT HALL, STONEY RD, DUNDRUM DUBLIN 14",Dublin 14,Dublin,"�336,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.238180499999999,53.2902368,4,Stoney Road,Drummartin,,County Dublin,D14
90,08/01/2015,"19 PERCY FRENCH RD, DUBLIN 12, DUBLIN",Dublin 12,Dublin,"�274,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3216983,53.319136,19,Percy French Road,Walkinstown,,County Dublin,D12 E0A6
91,08/01/2015,"2 BEECHLAWN GROVE, COOLOCK, DUBLIN 17",Dublin 5,Dublin,"�292,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2065651,53.388869,2,Beechlawn Grove,Kilmore,Dublin 5,County Dublin,D05 E8V0
92,08/01/2015,"2 KENILWORTH SQUARE, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"�1,385,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.274932499999999,53.3198598,2,Kenilworth Square North,Rathmines,Dublin 6,County Dublin,D06 E4W0
93,08/01/2015,"23 Peyton Drive, Stoney Road, Rathcoole",,Dublin,"�253,090.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.469598599999999,53.2773542,23,Peyton Drive,Rathcoole,,County Dublin,D24 P21K
94,08/01/2015,"28 HAWTHORN HOUSE, FARMLEIGH WOODS, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"�400,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.361866,53.3674026,,Farmleigh Avenue,Castleknock,,County Dublin,
95,08/01/2015,"31 LONGFORD HOUSE, SPENCER DOCK, DUBLIN 1",Dublin 1,Dublin,"�335,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2389394,53.35023760000001,,Spencer Dock,,Dublin 1,County Dublin,
96,08/01/2015,"47 PRIORY WAY, MANOR GROVE, TERENURE DUBLIN 12",Dublin 12,Dublin,"�460,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3132557,53.30813000000001,47,Priory Way,,,County Dublin,D12 TR53
97,08/01/2015,"58 SWILLY RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2974735,53.3627263,58,Swilly Road,Cabra West,,County Dublin,D07 N5V0
98,08/01/2015,"8 DUNSINK PARK, FINGLAS, DUBLIN 11",,Dublin,"�122,500.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3040541,53.3832399,8,Dunsink Park,,,County Dublin,D11 R6Y7
99,08/01/2015,"Apartment 67, Marlborough Court, Marlborough Street",Dublin 1,Dublin,"�163,000.00",No,No,Second-Hand Dwelling house /Apartment,,-73.623524,40.672935,,Marlborough Court,,,New York,11570
100,08/01/2015,"Apartment 8 The Daintree Building, 61-63 Pleasants Place, Dublin 8",Dublin 8,Dublin,"�528,634.36",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.2661095,53.3345174,,Pleasants Place,Saint Kevin's,Dublin 8,County Dublin,
101,08/01/2015,"BREFFNI HOUSE, COOLQUAY, THE WARD",Dublin 11,Dublin,"�390,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.32749,53.43335,,,Broghan,,County Dublin,
102,08/01/2015,"Brentwood House, Ballyboden Road, Rathfarnham",Dublin 16,Dublin,"�481,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2954289,53.2841005,,Ballyboden Road,,,County Dublin,
103,08/01/2015,"GARRISTOWN, DUBLIN",,Dublin,"�214,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.3835624,53.5668673,,,Garristown,,County Dublin,
104,08/01/2015,"Unit 21 The Crofton, George's Place, Dun Laoghaire",,Dublin,"�331,858.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.1388897,53.2944641,,,Dún Laoghaire,,County Dublin,
105,09/01/2015,"11 Belgrave Square, Monkstown",,Dublin,"�1,695,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1615705,53.29652549999999,11,Belgrave Square North,Montpelier,,County Dublin,A94 Y447
106,09/01/2015,"11 CROYDON TERRACE, MARINO, DUBLIN 3",Dublin 3,Dublin,"�380,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.237627499999999,53.3712396,11,Croydon Terrace,Ballybough,Dublin 3,County Dublin,D03 V0H7
107,09/01/2015,"11 THE CAIRN, CLIFFLANDS, RUSH",,Dublin,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.0934544,53.5354204,11,The Cairn,Ballustree,,County Dublin,K56 A402
108,09/01/2015,"12 Saggart Lakes, Saggart",,Dublin,"�281,938.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.433237200000001,53.279338,12,Saggart Lakes,Coldwater Commons,,County Dublin,D24 HP40
