,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,02/01/2015,"108 THE HARDWICKE VILLAGE, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,"�138,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.274621700000001,53.3509105,3,Brunswick Street North,,,County Dublin,D07 A006
1,02/01/2015,"12 THE CEDARS, MONKSTOWN VALLEY, MONKSTOWN",,Dublin,"�270,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1402591,53.2825915,,,Cualanaor,,County Dublin,
2,02/01/2015,"4 SHREWSBURY, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"�900,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2201361,53.32535679999999,4,Shrewsbury,,,County Dublin,D04 F2W5
3,03/01/2015,"46 HOLYWELL, UPR KILMACUD RD, DUBLIN 14",Dublin 14,Dublin,"�592,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2274886,53.2867056,46,Holywell,Kilmacud West,,County Dublin,
4,05/01/2015,"12 VILLA PARK AVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"�510,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3116708,53.3641806,12,Villa Park Avenue,,Dublin 7,County Dublin,D07 HR6T
5,05/01/2015,"147 OWENS AVE, CEANNT FORT, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,"�306,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.296926099999999,53.3410115,147,Ceannt Fort,,Dublin 8,County Dublin,D08 FE8D
6,05/01/2015,"16 THE HEIGHTS, ROBSWALL, MALAHIDE",,Dublin,"�650,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1393501,53.4436696,16,The Heights,Robswalls,,County Dublin,K36 NY33
7,05/01/2015,"167 CRUISE PARK DR, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3968077,53.4204202,167,Cruise Park Drive,Tyrrelstown,,County Dublin,
8,05/01/2015,"2 LINNETFIELDS COURT, CASTAHEANY, CLONEE",Dublin 15,Dublin,"�142,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.4390883,53.3991875,2,Linnetfields Court,Castaheany,,County Dublin,D15 K8H0
9,05/01/2015,"243 SEAPARK, MALAHIDE, DUBLIN",Dublin 3,Dublin,"�740,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1410135,53.4452183,243,Seapark,Robswalls,,County Dublin,K36 F982
10,05/01/2015,"25 NEW ROW SQ, NEW ROW SOUTH, DUBLIN 8",Dublin 8,Dublin,"�270,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2737541,53.3384744,,New Row South,The Liberties,Dublin 8,County Dublin,
11,05/01/2015,"40 ORMOND RD, RATHMINES, DUBLIN",Dublin 6,Dublin,"�1,145,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2557858,53.3184343,40,Ormond Road South,Rathmines,Dublin 6,County Dublin,D06 X7K4
12,05/01/2015,"42 The Courtyard, Clonsilla",Dublin 15,Dublin,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.4031338,53.381275,42,The Courtyard,Porterstown,,County Dublin,
13,05/01/2015,"61 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",Dublin 9,Dublin,"�557,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2334024,53.3755938,61,Griffith Avenue,Grace Park,Dublin 9,County Dublin,D09 C2Y0
14,05/01/2015,"65 MALTON HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1",Dublin 1,Dublin,"�345,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2454085,53.3495307,,Mayor Street Lower,Dublin Docklands,Dublin 1,County Dublin,
15,05/01/2015,"7 ST FINBARR'S ROAD, CABRA, DUBLIN 7",Dublin 7,Dublin,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3396775,53.3072777,7,Saint Finbarr's Close,Limekilnfarm,Dublin 12,County Dublin,D12 F1H9
16,05/01/2015,"71 MARLAY VIEW, BALLINTEER AVE, BALLINTEER DUBLIN 16",Dublin 16,Dublin,"�295,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2587806,53.2739248,,Ballinteer Avenue,Ballinteer,Dublin 16,County Dublin,
