,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,01/01/2016,"34 MOUNT PLEASANT TERRACE, RANELAGH, DUBLIN 6",Dublin 15,Dublin,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2614953,53.32858719999999,34,Mountpleasant Terrace,Ranelagh,Dublin 6,County Dublin,D06 YC58
1,04/01/2016,"13 Drury Mills, Saggart",,Dublin,"�230,088.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.4485556,53.2793814,13,Drury Mills,Moneyatta Commons,,County Dublin,D24 RD25
2,04/01/2016,"19 Drury Mills, Saggart",,Dublin,"�321,586.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,-6.4490761,53.2795378,19,Drury Mills,Moneyatta Commons,,County Dublin,D24 EH05
3,04/01/2016,"2 BRIGHTON SQ, BRIGHTON RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"�1,150,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1794661,53.257791,2,Brighton Square,,,County Dublin,D18 W5P3
4,04/01/2016,"2 MOYOLA MEWS, LOWER CHURCHTOWN ROAD, DUBLIN 14",,Dublin,"�330,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2535602,53.2983112,,Churchtown Road Lower,Churchtown Lower,Dublin 14,County Dublin,
5,04/01/2016,"24 WOODSTOWN MEADOW, KNOCKLYON, DUBLIN 16",Dublin 16,Dublin,"�430,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3271881,53.2737612,24,Woodstown Meadow,Ballycullen,Dublin 16,County Dublin,D16 A7X0
6,04/01/2016,"28 BELTON PARK GARDENS, DONNYCARNEY, DUBLIN",Dublin 9,Dublin,"�310,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.226541,53.3757148,28,Belton Park Gardens,Grace Park,Dublin 9,County Dublin,D09 N5W7
7,04/01/2016,"307 HAMPTON LODGE, BLOCK B, GRACE PARK RD",Dublin 9,Dublin,"�315,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.244793,53.376076,,Grace Park Road,Whitehall,,County Dublin,
8,04/01/2016,"32 LATCHFORD SQ, CLONEE, DUBLIN 15",Dublin 15,Dublin,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.4310341,53.3963034,32,Latchford Square,Castaheany,,County Dublin,
9,04/01/2016,"48A BEAUFIELD PARK, STILLORGAN, DUBLIN 18",,Dublin,"�345,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2027796,53.28906540000001,18,Beaufield Park,Stillorgan,,County Dublin,A94 HV29
10,04/01/2016,"5 MOUNT ARGUS TERRACE, HAROLDS CROSS, DUBLIN 6",,Dublin,"�375,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2860026,53.3218806,,Mount Argus Road,,,County Dublin,
11,04/01/2016,"50 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,"�189,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.393220599999999,53.38796989999999,,Snugborough Road,,Dublin 15,County Dublin,
12,05/01/2016,"1 VILLAREA PARK, ADELAIDE RD, GLENAGEARY",,Dublin,"�600,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1239989,53.28328339999999,1,Villarea Park,Glenageary,,County Dublin,A96 E5W8
13,05/01/2016,"10 CARNLOUGH ROAD, CABRA WEST, DUBLIN 7",,Dublin,"�107,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.2935703,53.3624532,10,Carnlough Road,Cabra West,,County Dublin,D07 E4P1
14,05/01/2016,"167 The Crescent, Park West Point, Gallanstown",,Dublin,"�130,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.3520219,53.2831161,167,The Crescent,,Dublin 24,County Dublin,D24 YX38
15,05/01/2016,"2 TAYLEURS POINT, RUSH, DUBLIN",,Dublin,"�414,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.0828508,53.5192637,2,Tayleurs Point,Rush,,County Dublin,K56 H603
16,05/01/2016,"21 AMBER, THE GRANGE, STILLORGAN",,Dublin,"�280,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1928322,53.2803992,,Brewery Road,Stillorgan,,County Dublin,
17,05/01/2016,"23A ST. PETERS ROAD, PHIBSBOROUGH, DUBLIN 7",,Dublin,"�360,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.277203999999999,53.3611989,7,Saint Peter's Road,Cabra East,,County Dublin,
18,05/01/2016,"27 UPPER CLANBRASSIL ST, DUBLIN 8, DUBLIN",Dublin 8,Dublin,"�341,200.00",No,No,Second-Hand Dwelling house /Apartment,,-6.275025599999999,53.3306573,27,Clanbrassil Street Upper,Portobello,Dublin 8,County Dublin,
19,05/01/2016,"29 GREENVIEW, SEABROOK MANOR, STATION RD",Dublin 13,Dublin,"�94,042.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,,,,
20,05/01/2016,"3 Castleview Walk, Artane",Dublin 5,Dublin,"�348,017.62",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,-6.2108609,53.3822183,3,Castleview,,Dublin 5,County Dublin,D05 N8H0
21,05/01/2016,"3 CLARENDON HALL, AUNGIER ST, DUBLIN 2",Dublin 2,Dublin,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2658385,53.3405503,,Aungier Street,,Dublin 2,County Dublin,
22,05/01/2016,"30 THE RICHMOND, BRUNSWICK ST NORTH, DUBLIN",Dublin 7,Dublin,"�190,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.2777243,53.3511412,,Brunswick Street North,Smithfield,Dublin 7,County Dublin,
23,05/01/2016,"304 PEARSE AVENUE, SALLYNOGGIN, CO DUBLIN",,Dublin,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1404961,53.2737999,304,Pearse Avenue,Thomastown,,County Dublin,A96 C529
24,05/01/2016,"36 The Alders, Monkstown Valley, Monkstown",,Dublin,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1616463,53.29311879999999,,Monkstown Valley,Montpelier,,County Dublin,
25,05/01/2016,"38 STANFORD GREEN, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.326134100000001,53.32077409999999,38,Stanford Green,Walkinstown,Dublin 12,County Dublin,D12 W8N8
26,05/01/2016,"40 WEAVERS HALL, LEVMOSS PARK, THE GALLOPS",Dublin 18,Dublin,"�210,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1984184,53.2639518,,Orby Park,,Dublin 18,County Dublin,
