,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,2018-01-02,"1 ABBEY ST, HOWTH, DUBLIN",Dublin 7,Dublin,710000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.064608199999999,53.3881169,1,Abbey Street,,,County Dublin,D13 R2P6
1,2018-01-02,"1 ROSEVILLE, LOWER ROAD, SHANKILL",Dublin 18,Dublin,627230.7,No,No,Second-Hand Dwelling house /Apartment,,-6.1253428,53.2329397,1,Roseville,,,County Dublin,D18 YY71
2,2018-01-02,"19 ULVERTON RD, DALKEY, DUBLIN",,Dublin,1130000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.107342999999999,53.2796023,19,Ulverton Road,Dalkey,,County Dublin,A96 HY04
3,2018-01-02,"236 PHIBSBORO RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,277000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2733223,53.3556131,236,Phibsborough Road,,Dublin 7,County Dublin,D07 N2E0
4,2018-01-02,"3 COLLEGE COURT, PORTRANE ROAD, DONABATE",,Dublin,348017.62,No,No,Second-Hand Dwelling house /Apartment,,-6.1412172,53.4898761,,Portrane Road,Ballalease North,,County Dublin,
5,2018-01-02,"34 SLANE RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.298204,53.3265937,34,Slane Road,,Dublin 12,County Dublin,D12 XN63
6,2018-01-02,"51A ST PATRICKS CRESCENT, MONKSTOWN, DUBLIN",,Dublin,545000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.152092199999999,53.28607119999999,51A,Saint Patrick's Crescent,Dún Laoghaire,,County Dublin,A96 A4Y1
7,2018-01-02,"62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24",Dublin 24,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.366782199999999,53.2881695,,Abberley Square,Tallaght,,County Dublin,
8,2018-01-02,"89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3256111,53.3171286,89,Cromwellsfort Road,Crumlin,,County Dublin,
9,2018-01-02,"APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3",Dublin 3,Dublin,230000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1871809,53.367307,,Mount Prospect Avenue,Clontarf,Dublin 3,County Dublin,
