Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2019","36, 109 PARNELL ST, DUBLIN 1","Dublin 1","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","39 LAMBOURN AVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","39 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24","Dublin 24","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","49 MEADOW VALE, BLACKROCK, DUBLIN","","Dublin","€176,184.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","5 BARNWELL CLOSE, ONGAR, DUBLIN 15","Dublin 15","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","51 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin","€216,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","56 THE GROVE, HUNTERS RUN, CLONEE DUBLIN 15","Dublin 15","Dublin","€377,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","7 LATCHFORD GREEN, CASTAHEANEY, DUBLIN 15","Dublin 15","Dublin","€308,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","7 RIVERSDALE RD, CLONDALKIN DUBLIN 22, DUBLIN","Dublin 22","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","74 FITZWILLIAM POINT, FITZWILLIAM QUAY, RINGSEND DUBLIN 4","Dublin 4","Dublin","€351,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","9 ANNADALE AVE, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","EDENDALE, CLOUGHRAN, CO DUBLIN","","Dublin","€400,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2019","2 CARRIGMORE OAK, CITYWEST, SAGGART","Dublin 24","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","10 THE CASINO, DUBLIN RD, MALAHIDE","","Dublin","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","103 MARLAY VIEW, BALLINTEER AVE, DUBLIN 16","Dublin 16","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","12 HERBERT COTTAGES, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","€463,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","13 DUN SAITHNE VIEW, FLEMINGTON LANE, BALBRIGGAN","","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","146 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD DUBLIN 15","Dublin 7","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","15 CEOL NA MARA, RUSH, DUBLIN","","Dublin","€196,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","173 CORRIB RD, TERENURE, DUBLIN 6W","","Dublin","€495,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","18  Beechwood Heath, Beechwood, Hansfioeld","","Dublin","€321,585.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","23 Beechwood Heath, Beechwood, Hansfield","Dublin 15","Dublin","€317,181.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","23 THE KILNS, STATION RD, PORTMARNOCK","Dublin 13","Dublin","€243,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","38 Larkfield Heath, Clayfarm, Leopardstown","","Dublin","€515,418.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","4 Dodderbrook Glade, Dodderbrook, Old Court Road","","Dublin","€405,286.34","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","40 GERALDSTOWN WOODS, SANTRY, DUBLIN 9","Dublin 9","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","43 ELDERWOOD ROAD, PALMERSTOWN, DUBLIN 20","Dublin 20","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","45 ELY VIEW, OLD COURT, TALLAGHT DUBLIN 24","Dublin 24","Dublin","€332,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","55 DRUMFIN ROAD, BALLYFERMOT, DUBLIN 10","Dublin 10","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","56 DEERHAVEN AVE, CLONEE, DUBLIN 15","Dublin 15","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","57 DEAN SWIFT RD, GLASNEVIN, DUBLIN 11","Dublin 11","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","7 MOUNT ROCHFORD AVE, FLEMINGTON LANE, BALBRIGGAN","","Dublin","€246,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","88 FOXFIELD RD, RAHENY, DUBLIN 5","Dublin 5","Dublin","€577,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","9 EDEN PARK RD, GOATSTOWN, DUBLIN 14","Dublin 14","Dublin","€670,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","GLENROSS, KELLYSTOWN ROAD, SANDYFORD","","Dublin","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","LISHEEN, DUNDRUM RD, DUNDRUM DUBLIN 14","Dublin 14","Dublin","€485,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","11 HOLYWELL HEIGHTS, SWORDS, DUBLIN","","Dublin","€264,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","13 CHANDLERS GUILD, JAMESS ST, DUBLIN 8","Dublin 8","Dublin","€202,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","13 HOMELAWN AVE, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
