Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/02/2019","62 CHURCHFIELDS, DUNDRUM RD, MILLTOWN","Dublin 14","Dublin","€515,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","7 CONQUER HILL AVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","7 MEADOW PARK, CHURCHTOWN, DUBLIN 14","Dublin 14","Dublin","€540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","7 TURVEY PARK, DONABATE, DUBLIN","","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","8 Belltree Row, Clongriffin","Dublin 13","Dublin","€325,991.00","No","Yes","New Dwelling house /Apartment",""
"04/02/2019","8 CANNONBROOK AVENUE, LUCAN, CO DUBLIN","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","81 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS","Dublin 11","Dublin","€262,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","90 GREENFORT GARDENS, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€202,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","96 OLD CABRA RD, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€216,666.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","Apartment 53 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 54 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 55 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€317,181.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 56 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€317,181.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 57 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 58 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 59 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 60 Hampton Wood Drivr, Hampton Wood, St. Margaet's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 61 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€317,181.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 62 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€317,181.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 63 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 12","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","Apartment 64 Hampton Wood Drive, Hampton Wood, St. Margaret's Road","Dublin 11","Dublin","€341,850.00","Yes","Yes","New Dwelling house /Apartment",""
"04/02/2019","APT 1, 161 JAMESS ST, DUBLIN 8","Dublin 8","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","APT 2, 161A JAMESS ST, DUBLIN","Dublin 8","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","APT 3, 161A JAMESS ST, DUBLIN","Dublin 8","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","APT 4, 161A JAMESS ST, DUBLIN","Dublin 8","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","AVOCA, 62 LAUREL PARK, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/02/2019","KEATINGS PARK, RATHCOOLE, DUBLIN","Dublin 24","Dublin","€795,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","10 ARMAGH RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","10 GLENCAIRN, HARBOUR RD, DALKEY","","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","11 FATHER MATTHEW SQ, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","11 THE VIEW, CARRICKMINES MANOR, GLENAMUCK RD","Dublin 18","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","111 WESTLAND SQ, PEARSE ST, DUBLIN","Dublin 2","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","122 BUTTERFIELD AVE, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","13 ELY SQUARE, NUTGROVE AVENUE, RATHFARNHAM","","Dublin","€594,713.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2019","13 OCONNELL GARDENS, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","13 wilkins court, greenhill, dublin 12","","Dublin","€370,044.05","No","Yes","New Dwelling house /Apartment",""
"05/02/2019","134 CREMONA ROAD, BALLYFERMOT, DUBLIN 10","","Dublin","€237,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","140 CAPPAGH RD, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","€228,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","15 HAINAULT GROVE, FOXROCK, DUBLIN 18","Dublin 18","Dublin","€701,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","161 ST JOHNS CRESCENT, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","17 NEWCOMEN AVE, NORTH STRAND, DUBLIN 1","Dublin 3","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","18 CARRIGLEA VIEW, FIRHOUSE, DUBLIN 24","Dublin 24","Dublin","€416,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","18 CLEARSTREAM COURT, MCKEE AVE, FINGLAS DUBLIN 11","Dublin 11","Dublin","€168,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","19 BOROIMHE ASPEN, BOROIMHE, SWORDS","","Dublin","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","21 GOLDENRIDGE DR, SKERRIES RD, RUSH","","Dublin","€87,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","25 PEMBROKE COTTAGES, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","26 MILLSTREAM, THE LINKS, PORTMARNOCK","Dublin 13","Dublin","€298,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","28 RADCLIFFE HALL, ST JOHNS RD, SANDYMOUNT DUBLIN 4","Dublin 4","Dublin","€645,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","28 THE PAVILION, DUN LAOGHAIRE, DUBLIN","","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","29 SLADE CASTLE AVE, SAGGART, DUBLIN","Dublin 24","Dublin","€224,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","34 BEECHWOOD PARK, DUN LAOGHAIRE, DUBLIN","","Dublin","€760,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","37 ANFIELD DRIVE, DUBLIN 15","Dublin 15","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","4 Beechwood Heath, Beechwood, Hansfield","","Dublin","€292,951.55","No","Yes","New Dwelling house /Apartment",""
"05/02/2019","4 CASTLEKEVIN RD, COOLOCK, DUBLIN 5","Dublin 5","Dublin","€273,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","4 PETRIE RD, CIRCULAR RD SOUTH, DUBLIN 8","Dublin 8","Dublin","€45,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","41 SHEILMARTIN AVE, MARINO, DUBLIN 3","Dublin 3","Dublin","€405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","44 SEA VIEW PARK, PORTRANE, DONABATE","","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","45 CEDAR PK, FORREST RD, SWORDS","","Dublin","€313,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","5 ARRAN QUAY, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","5 DARTMOUTH SQUARE WEST, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€1,405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","5 PECKS LANE, PARKMORE, CASTLEKNOCK","","Dublin","€640,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","5 WHITES GATE, WHITES ROAD, CASTLEKNOCK","Dublin 15","Dublin","€1,120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","53 Ballygoosan Park, Golf Links Road, Skerries","","Dublin","€308,400.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2019","55 BEECHDALE COURT, BALLYCULLEN, FIRHOUSE DUBLIN 24","Dublin 24","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","55 NIALL ST, STONEYBATTER, DUBLIN 7","Dublin 7","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","57 BERTRAM COURT, CHRISTCHURCH, DUBLIN 8","Dublin 8","Dublin","€248,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","62 Millets Avenue, Millers Glen, Swords","","Dublin","€409,691.00","No","Yes","New Dwelling house /Apartment",""
"05/02/2019","67 ROSSE COURT HEIGHTS, BALGADDY RD, LUCAN","","Dublin","€197,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","69 THE PLAZA, BALLYMUN, DUBLIN 9","Dublin 9","Dublin","€147,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","7 HOLYWELL PLACE, SWORDS, DUBLIN","","Dublin","€306,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","78 GLENTOW RD, WHITEHALL, DUBLIN 9","Dublin 9","Dublin","€267,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","80 PEARSE ST, DUBLIN 2, DUBLIN","Dublin 2","Dublin","€325,823.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","81 SHANLISS WAY, SANTRY, DUBLIN 9","Dublin 9","Dublin","€177,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","88 SHANLISS RD, SANTRY, DUBLIN 9","Dublin 9","Dublin","€347,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","9 CULLENSWOOD GARDENS, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€1,210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","9 FINSBURY GREEN, DUNDRUM, DUBLIN 14","Dublin 14","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","APT 44 BLOCK F, MILNERS SQ, SHANOWEN RD DUBLIN 9","Dublin 9","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","CROMLECH COTTAGE, KILLINEY HILL ROAD, KILLINEY","","Dublin","€1,450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","FERRYCARRIG, THE RISE MOUNT MERRION, BLACKROCK","","Dublin","€915,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2019","MILVERTON, SKERRIES, CO DUBLIN","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","1 THE WATERCOURSE, TEMPLEOGUE, DUBLIN 6W","","Dublin","€840,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","10 MAPAS AVE, DALKEY, DUBLIN","","Dublin","€635,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","10B NORTH ST, ONGAR, DUBLIN 15","Dublin 15","Dublin","€204,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","113 BELFRY HALL, CITYWEST DUBLIN 24, DUBLIN","Dublin 24","Dublin","€222,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","117 THE MAPLES, BIRD AVE, CLONSKEAGH DUBLIN 14","Dublin 14","Dublin","€662,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","12 BIRCHDALE RD, KINSEALY, DUBLIN","","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","13 FOREST AVE, RIVERVALLEY, SWORDS","","Dublin","€28,705.04","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","14 HOLYWELL GREEN, FELTRIM RD, SWORDS","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","15 CROFTWOOD DR, CHERRY ORCHARD, BALLYFERMOT DUBLIN 10","Dublin 10","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","16 Elder Heath Walk, Elder Heath, Kiltipper Road","Dublin 24","Dublin","€268,722.00","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","17 Ardilaun Court, Sybill Hill Road, Raheny","","Dublin","€414,097.00","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","17 GLENPARK ROAD, PALMERSTOWN, DUBLIN 20","","Dublin","€324,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","17 White Pines Court, White Pines, Stocking Avenue","Dublin 16","Dublin","€458,149.00","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","170 BRIARFIELDGROVE, KILLBARRICK, DUBLIN 5","Dublin 5","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","18 MANORFIELDS CLOSE, CASTAHEANY, DUBLIN 15","Dublin 15","Dublin","€232,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","2 BEECH HILL TERRACE, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","€607,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","2 Castleland Park Close, Balbriggan, County Dublin","","Dublin","€242,290.75","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","2 SITRIC RD, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","20 B MIDDLE THIRD, KILLESTER, DUBLIN 5","","Dublin","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","20 ST CATHRYNS COURT, NEWGROVE AVE, SANDYMOUNT DUBLIN 4","Dublin 4","Dublin","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","20 WELLMOUNT DR, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","21 HAZELBURY PARK, CLONEE, DUBLIN 15","Dublin 15","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","22 PINEWOODS, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","25 OLD CO GLEN, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","30 ST PETERS SQ, PHIBSBOROUGH RD, PHIBSBOROUGH DUBLIN 7","Dublin 7","Dublin","€219,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","32 COLLINS PLACE, FINGLAS EAST, DUBLIN 11","Dublin 11","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","37 ASHTON PARK, MONKSTOWN, DUBLIN","","Dublin","€805,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","38 GERALDINE ST, PHIBSBORO, DUBLIN 7","Dublin 7","Dublin","€276,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","44A PAIRC MHUIRE, SAGGART, DUBLIN","Dublin 24","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","46 WARNERS LANE, DUBLIN 6, DUBLIN","Dublin 6","Dublin","€780,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","5 ST. HELEN'S WALK, ST. HELENS, ADAMSTOWN","","Dublin","€259,911.89","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","52 Wilkins Court, Walkinstown","Dublin 12","Dublin","€427,312.00","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","55 ROCKVIEW, BLACKGLEN RD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","58 VILLA PARK AVE NAVAN RD, DUBLIN","Dublin 15","Dublin","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","67 DRYNAM AVENUE, KETTLES LANE, KINSEALY","","Dublin","€295,154.20","No","Yes","New Dwelling house /Apartment",""
"06/02/2019","75 FERNDALE, HUNTSTOWN, CLONSILLA DUBLIN 15","Dublin 15","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","77 ESKER WOOD DR, LUCAN, DUBLIN","","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","8 BRAEMOR AVE, CHURCHTOWN, DUBLIN 14","Dublin 14","Dublin","€121,110.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","8 LISLE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€244,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","8 SHANBOLEY RD, SANTRY, DUBLIN 9","Dublin 9","Dublin","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","9 PARK COURT, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","€440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","ST JOSEPHS, LEOPARDSTOWN RD, DUBLIN 18","Dublin 18","Dublin","€650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","UNIT 1, 23 YORK ROAD, RATHMINES","Dublin 6","Dublin","€1,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2019","WIMBLETOWN HOUSE, WIMBLETOWN, BALLYBOUGHAL","","Dublin","€535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","101 BALLYSHANNON RD, KILMORE WEST, DUBLIN 15","Dublin 5","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","117 TYMON CRESCENT, OLDBAWN, TALLAGHT DUBLIN 24","Dublin 24","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","12 WELLINGTON LODGE, SERPENTINE AVE, BALLSBRIDGE DUBLIN 4","Dublin 4","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","134 THE MAPLES, BIRD AVENUE, CLONSKEAGH","","Dublin","€965,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","146 TRITONVILLE RD, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","€12,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","154 ROYAL CANAL COURT, ROYAL CANAL WAY, ASHTOWN","","Dublin","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","16 Hampton, Grace Park Road, Drumcondra","","Dublin","€788,547.00","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","16 White Pines Meadow, Stocking Avenue, Rathfarnham","Dublin 16","Dublin","€365,639.00","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","184 DOWNPATRICK RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€263,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","19 SUNCROFT DRIVE, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","2 Clonrath Park, Skerries Road, Lusk","","Dublin","€334,802.00","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","2 FOSTER PLACE NORTH, NORTH STRAND, DUBLIN 3","Dublin 3","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","201 HAMPTON LODGE, GRACE PARK RD, DUBLIN 9","Dublin 9","Dublin","€288,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","21 OAKLAND PARK, SWORDS, DUBLIN","","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","23 LEESON PARK AVE, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€921,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","23 White Pines Meadow, Stocking Avenue, Rathfarnham","Dublin 16","Dublin","€374,449.34","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","24, CASEMENT DRIVE, FINGLAS DUBLIN 11","Dublin 11","Dublin","€84,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","29 CASTLEVIEW LAWNS, SWORDS, DUBLIN","","Dublin","€200,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","3 CÚL NA GRÉINE, AN  TSEANBHÁBHÚN, TAMHLACHT ÁTH CLIATH 24","Dublin 24","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","30 BEECHFILED MEADOWS, CASTAHEANY, CLONEE","Dublin 15","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","33 HARDIMAN RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","41 VENETIAN HALL, HOWTH RD, KILLESTER DUBLIN 5","Dublin 5","Dublin","€147,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","43 BELVILLE, AILESBURY RD, DUBLIN 4","Dublin 4","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","44 COLLINSTOWN GROVE, CLONDALKIN, DUBLIN","Dublin 22","Dublin","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","45 MAIESTON, SANTRY CROSS, BALLYMUN DUBLIN 11","Dublin 11","Dublin","€189,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","46 RIALTO COURT, RIALTO ST, RIALTO DUBLIN 8","Dublin 8","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","49A ORWELL PARK, RATHGAR, DUBLIN 6","Dublin 6","Dublin","€1,500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","5 PALMERS COPSE, PALMERSTOWN MANOR, PALMERSTOWN DUBLIN 20","Dublin 20","Dublin","€337,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","57 wilkins court, limekiln lane","Dublin 12","Dublin","€422,907.00","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","58 SHELBOURNE PARK, SOUTH LOTTS RD, RINGSEND DUBLIN 4","Dublin 4","Dublin","€378,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","6 WATERSIDE GROVE SWORDS RD, MALAHIDE, DUBLIN","","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","63 THE WATER RILL, WATERSIDE, SWORDS RD","Dublin 9","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","66 GOLDENBRIDGE AVE, INCHICORE, DUBLIN 8","","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","7  Longview Square, Miller Glen, Swords","","Dublin","€301,904.18","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","78 NORTHUMBERLAND RD, DUBLIN 4, DUBLIN","Dublin 4","Dublin","€1,600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","8 CASTLEGRANGE LAWN, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","9 HAWTHORN TERRACE, EAST WALL, DUBLIN 3","Dublin 3","Dublin","€337,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2019","9 Longview Square, Millers Glen, Swords","","Dublin","€286,343.61","No","Yes","New Dwelling house /Apartment",""
"07/02/2019","Apartment 11, Greygates Hall, Roebuck Avenue","","Dublin","€562,250.00","No","Yes","New Dwelling house /Apartment",""
"08/02/2019","1 Diswellstown Court, Castleknock, Dublin 15","Dublin 15","Dublin","€458,149.00","No","Yes","New Dwelling house /Apartment",""
"08/02/2019","10 ST ITAS RD, DUBLIN 9, DUBLIN","Dublin 9","Dublin","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","10 ST VINCENTS PARK, TEMPLE HILL, BLACKROCK","","Dublin","€538,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","101 DORNEY COURT, SHANKILL, DUBLIN 18","Dublin 18","Dublin","€438,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","11 ANNAMOE DRIVE, CABRA, DUBLIN 7","Dublin 7","Dublin","€192,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","11 THE PARK, PHEASANT RUN, CLONEE DUBLIN 15","Dublin 15","Dublin","€322,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","11 VIOLET HILL DR, GLASNEVIN, DUBLIN 11","Dublin 11","Dublin","€433,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","110 THE MALTINGS, BONHAM ST, DUBLIN 8","Dublin 8","Dublin","€192,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","112 CARLTON COURT, SWORDS, DUBLIN","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","12 ELDER HEATH WALK, ELDER HEATH, KILTIPPER ROAD","Dublin 24","Dublin","€268,722.00","No","Yes","New Dwelling house /Apartment",""
"08/02/2019","12 GROSVENOR LODGE, RATHMINES, DUBLIN 6","Dublin 6","Dublin","€434,600.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2019","12 STATION COURT, DONABATE, DUBLIN","","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
