ID,Latitude,Longitude,Type
7000B6310001,54.29621656,-7.87179253,Bus Stop
700000004183,54.34645507,-6.2715428410000005,Bus Stop
700000004149,54.34629711,-6.271180292,Bus Stop
7000B141561,54.19337963,-7.567848574,Bus Stop
7000B140871,54.19331706,-7.567941168,Bus Stop
700000009127,54.50100155,-6.774142049,Bus Stop
700000009239,54.50100155,-6.774142049,Bus Stop
700000015376,54.46282483,-7.028651109,Bus Stop
700000015104,54.23134016,-6.030641757000001,Bus Stop
700000015105,54.23143121,-6.030714122999999,Bus Stop
700000013460,54.82774606,-7.463786397000001,Bus Stop
700000013332,54.82639225,-7.470589521,Bus Stop
700000011467,54.60164073,-7.300481242,Bus Stop
700000006235,54.21504281,-5.888254827999999,Bus Stop
700000007728,54.21504281,-5.888254827999999,Bus Stop
700000004120,54.18054026,-6.231328863,Bus Stop
700000004133,54.18048277,-6.231086182,Bus Stop
700000004126,54.19490796,-6.145715279,Bus Stop
700000004127,54.19478696,-6.145444821,Bus Stop
700000004096,54.23655253,-6.1584997060000015,Bus Stop
7000B158011,54.35240009,-6.654315504,Bus Stop
700000000235,54.35234602,-6.654301887000001,Bus Stop
7000B558021,54.42283318,-6.443366696,Bus Stop
7000B558041,54.46724214,-6.399903667999999,Bus Stop
7000B600291,54.52259466,-7.722690617,Bus Stop
7000B600311,54.52253127,-7.722474797,Bus Stop
700000000227,54.47456211,-7.701107332999999,Bus Stop
700000000228,54.4746073,-7.701215002,Bus Stop
700000000232,54.34348165,-7.638035304,Bus Stop
700000000233,54.34355353,-7.638034673,Bus Stop
700000000220,54.19999478,-7.575902317000001,Bus Stop
700000000219,54.19993237,-7.57604089,Bus Stop
7000B5596101,54.29720327,-7.870207186,Bus Stop
7000B141541,54.4761706,-8.094501987000001,Bus Stop
700000007336,54.25714049,-5.944403716,Bus Stop
700000007346,54.25698757,-5.944395975,Bus Stop
700000007623,54.25763089,-5.8443862520000005,Bus Stop
700000007714,54.25758216,-5.844173886,Bus Stop
700000007629,54.29169879,-5.837644362000001,Bus Stop
700000007708,54.29190559,-5.837648888,Bus Stop
700000006268,54.32585464,-5.719730731,Bus Stop
700000007262,54.32585464,-5.719730731,Bus Stop
7000B600271,54.47653363,-7.698994602000001,Bus Stop
7000B600281,54.47641682,-7.69899546,Bus Stop
7000B139781,54.11588432,-6.357284572,Bus Stop
7000B139771,54.13102309,-6.346478897999999,Bus Stop
700000000229,54.13100864,-6.346081612000001,Bus Stop
7000B139491,54.17287148,-6.340995722000001,Bus Stop
7000B139501,54.17286558,-6.34056706,Bus Stop
7000B139481,54.16825303,-6.339097562999999,Bus Stop
7000B158241,55.00447628,-7.321781701,Bus Stop
7000B107131,54.06204481,-6.643525169,Bus Stop
700000000234,54.0618762,-6.64371398,Bus Stop
7000B630101,54.30949256,-7.7321618339999985,Bus Stop
7000B630091,54.30928706,-7.732685628,Bus Stop
700000000240,54.59459264,-5.936600821,Bus Stop
700000015363,54.5944841,-5.93655988,Bus Stop
700000015422,54.59505428,-5.936267932000001,Bus Stop
700000003323,54.487234,-6.065393109,Bus Stop
700000003388,54.48724338,-6.065979231,Bus Stop
7000B150611,54.17680229999999,-6.343212856,Bus Stop
7000B156051,54.17561606,-6.33995141,Bus Stop
700000015471,54.17586809,-6.339328557000001,Bus Stop
700000014719,54.59508806,-5.93719485,Bus Stop
7000B158131,54.99662876,-7.317866335,Bus Stop
7010PB003857,55.03340435,-7.357771751,Bus Stop
7010PB003858,55.03357529,-7.357815945,Bus Stop
7010PB003859,55.04571229,-7.27444007,Bus Stop
7010PB003860,55.04570247,-7.27429942,Bus Stop
7050B1520901,54.47735347,-8.098485485,Bus Stop
7050B8004282,54.34370277,-7.639863503,Bus Stop
7050B108081,54.34369443,-7.640078887,Bus Stop
7050B1415501,54.29505808,-7.637830303999999,Bus Stop
7050B1409001,54.29500472,-7.638015107,Bus Stop
7050B558051,54.42180128,-6.445578659,Bus Stop
7060000001,54.61070183,-7.323313814,Bus Stop
7060000002,54.83032072,-7.469012863,Bus Stop
7060B157111,54.72189052,-7.37298186,Bus Stop
7060B1581401,54.78577936,-7.472348362000001,Bus Stop
7060B1581402,54.78577936,-7.472348362000001,Bus Stop
7060B152481,54.78431172,-7.471636798,Bus Stop
7060B1581001,54.72177388,-7.373014705,Bus Stop
7060B1581002,54.72177388,-7.373014705,Bus Stop
8210B3392501,52.70072903,-6.960116482,Bus Stop
8210B5981201,52.8300544,-6.936121166,Bus Stop
8210TR000006,52.83634955,-6.9305054089999985,Bus Stop
8210TR000008,52.83445187,-6.923413243,Bus Stop
8210TR000007,52.83645495,-6.931230089,Bus Stop
8210TR000001,52.8027506,-6.736526453,Bus Stop
821000011,52.83524309,-6.925427007000001,Bus Stop
8210B3355702,52.83372901,-6.926963347,Bus Stop
8210B3355701,52.83362909,-6.92684708,Bus Stop
8210PB000017,52.83362922,-6.926861917999999,Bus Stop
8210TR000005,52.83626293,-6.929869325,Bus Stop
8210TR000004,52.83596117,-6.929297902,Bus Stop
8210TR000003,52.83463781,-6.928068911,Bus Stop
8210TR000002,52.84073972,-6.922990542000001,Bus Stop
8210PB000013,52.60011442,-6.924030634,Bus Stop
8210PB000012,52.60018591,-6.923984596,Bus Stop
8210PB000011,52.83763857,-6.876416762000001,Bus Stop
8210B3390801,52.738872,-6.98568732,Bus Stop
8210B3394301,52.7037906,-6.984606912,Bus Stop
8210B3394302,52.70299802,-6.985468728,Bus Stop
8210PB000008,52.70251794,-6.985035962,Bus Stop
8210B3511401,52.88061916,-6.695247854,Bus Stop
8210B3511402,52.88061916,-6.695247854,Bus Stop
