,Luas_quantity,Bus_quantity,Train_quantity,PS_quantity,SS_quantity,Garda_quantity,Price,VAT_exclusive,Longitude,Latitude,New_Dwelling_House_Apartment,Second_Hand_Dwelling_House_Apartment
93,0,43,0,3,2,0,310000.0,0,-6.328312400000001,53.2830514,0,1
94,0,87,1,4,3,2,290000.0,0,-6.2537348,53.3617923,0,1
95,0,61,0,3,3,1,335000.0,0,-6.238592,53.38805179999999,0,1
96,2,88,0,8,2,1,365000.0,0,-6.2750833,53.3339444,0,1
97,0,30,1,1,1,1,220000.0,0,-6.1830372,53.6109118,0,1
98,0,60,1,5,4,0,400000.0,0,-6.2396654,53.3646978,0,1
99,8,19,0,1,0,0,405286.0,1,-6.198579799999999,53.2632994,1,0
100,0,70,0,4,2,1,647000.0,0,-6.2795497000000005,53.3132235,0,1
101,0,34,0,5,2,0,330000.0,0,-6.3431601,53.308869900000005,0,1
102,4,116,1,3,2,2,335000.0,0,-6.2655081,53.3611588,0,1
103,0,15,0,1,1,0,380000.0,0,-6.0997934,53.5224899,0,1
104,0,19,0,0,0,0,214000.0,0,-6.390053099999999,53.422265,0,1
105,0,71,0,4,1,1,285000.0,0,-6.1915796,53.3885063,0,1
106,0,56,0,6,5,1,237000.0,0,-6.3462167,53.346636,0,1
107,0,34,1,2,2,0,292500.0,0,-6.3956915,53.3818811,0,1
108,8,80,0,4,2,1,905000.0,0,-6.2609317,53.3248075,0,1
110,4,28,0,4,1,0,301000.0,0,-6.369427,53.309392200000005,0,1
111,2,75,2,5,2,1,235000.0,0,-6.243773200000001,53.3586558,0,1
112,0,20,0,1,1,0,260000.0,0,-6.1892426,53.4521118,0,1
113,6,47,0,2,1,0,540000.0,0,-6.1986115,53.2745556,0,1
114,4,23,0,3,0,0,163000.0,0,-6.4303767,53.2806168,0,1
115,6,137,0,7,3,1,346000.0,0,-6.2718276,53.3567568,0,1
116,0,39,2,2,1,1,870000.0,0,-6.1692794,53.2993128,0,1
118,0,49,0,3,2,0,365000.0,0,-6.3507721,53.2816298,0,1
119,0,16,0,3,1,0,351940.0,1,-6.3439734,53.2689956,1,0
120,8,121,0,9,3,2,240000.0,0,-6.2755718,53.3426795,0,1
121,0,26,0,0,1,0,300235.0,1,-6.2010351,53.45174300000001,1,0
122,0,23,0,4,1,0,136000.0,0,-6.3925841,53.3422615,0,1
124,0,110,2,3,2,1,650000.0,0,-6.2377205,53.3366698,0,1
125,4,49,0,2,2,0,282000.0,0,-6.2428075,53.3040346,0,1
126,0,16,1,2,2,0,160000.0,0,-6.4039176,53.374933,0,1
127,0,68,0,6,5,1,680000.0,0,-6.2875809,53.3085309,0,1
128,0,26,0,3,1,0,450000.0,0,-6.1308363,53.4308905,0,1
129,0,51,0,3,4,0,375000.0,0,-6.2330934000000005,53.3812036,0,1
130,0,54,0,3,1,0,405000.0,0,-6.226502,53.39192370000001,0,1
131,0,28,0,0,0,0,255000.0,0,-6.450952099999999,53.3363826,0,1
132,0,35,1,7,1,0,310000.0,0,-6.3684747,53.3794792,0,1
133,6,61,0,5,0,1,188500.0,0,-6.382170200000001,53.28552979999999,0,1
134,0,49,0,3,1,0,1800000.0,0,-6.1721996,53.2722664,0,1
135,0,42,2,2,0,1,470000.0,0,-6.139511,53.294947,0,1
136,0,125,3,3,2,1,305000.0,0,-6.2373463,53.3394037,0,1
137,0,0,0,0,0,0,390000.0,0,-6.3879774000000005,53.4345366,0,1
138,0,47,2,2,0,1,123348.02,1,-6.1424791,53.29419,1,0
139,0,43,3,3,0,1,850569.0,0,-6.1288054,53.2874755,0,1
140,0,72,0,6,0,1,230000.0,0,-6.204896700000001,53.3938197,0,1
141,0,47,2,2,0,1,123348.02,1,-6.1424791,53.29419,1,0
142,0,22,0,3,1,0,610000.0,0,-6.144252,53.4423339,0,1
143,0,28,0,1,1,0,445000.0,0,-6.4737138,53.35692829999999,0,1
144,0,67,0,5,1,0,182000.0,0,-6.301481400000001,53.31551329999999,0,1
145,0,20,0,2,0,0,290000.0,0,-6.2542338,53.267663,0,1
146,0,15,0,0,0,0,900000.0,0,-6.179358799999999,53.4361135,1,0
147,0,42,0,2,1,0,460000.0,0,-6.2988222,53.2764649,0,1
148,8,29,0,1,0,0,580000.0,0,-6.203331299999999,53.2634147,0,1
149,0,44,2,3,0,1,815000.0,0,-6.1337128,53.29401239999999,0,1
150,4,67,0,7,0,1,544500.0,0,-6.2440746,53.29280479999999,0,1
151,0,43,2,3,1,1,325000.0,0,-6.177729599999999,53.29921650000001,0,1
152,2,58,0,8,3,0,372500.0,0,-6.2845233,53.3695749,0,1
153,0,77,1,6,1,1,600000.0,0,-6.266620099999999,53.36824789999999,0,1
155,8,93,1,2,0,0,265000.0,0,-6.234360099999999,53.352190500000006,0,1
156,0,19,0,0,0,0,235000.0,0,-6.3885061,53.4177294,0,1
157,11,92,0,8,2,1,167000.0,0,-6.277724299999999,53.3511412,0,1
158,0,64,0,6,2,0,130000.0,0,-6.2269657,53.4658413,0,1
159,0,71,0,5,3,1,410000.0,0,-6.2897113,53.311643,0,1
160,0,46,2,6,3,0,285000.0,0,-6.1647249,53.3917798,0,1
162,2,51,0,5,1,1,325000.0,0,-6.2434444,53.2824995,0,1
163,8,83,1,6,2,0,127000.0,0,-6.2903059,53.3477206,0,1
164,4,87,0,8,2,1,675000.0,0,-6.2727711,53.3325728,0,1
165,0,54,0,1,2,0,225000.0,0,-6.2161727,53.3103832,0,1
166,0,33,1,0,1,0,436000.0,0,-6.2069169,53.320821200000005,0,1
167,0,49,0,1,0,0,243000.0,0,-6.2925148,53.40293320000001,0,1
168,0,31,0,1,0,0,140000.0,0,-6.391611599999999,53.3525354,0,1
