,Garda Station
545,"66101 Blanchardstown, D.M.R. Western Division"
546,"66101 Blanchardstown, D.M.R. Western Division"
547,"66101 Blanchardstown, D.M.R. Western Division"
548,"66101 Blanchardstown, D.M.R. Western Division"
549,"66101 Blanchardstown, D.M.R. Western Division"
550,"66101 Blanchardstown, D.M.R. Western Division"
551,"66101 Blanchardstown, D.M.R. Western Division"
552,"62101 Bridewell Dublin, D.M.R. North Central Division"
553,"62101 Bridewell Dublin, D.M.R. North Central Division"
554,"62101 Bridewell Dublin, D.M.R. North Central Division"
555,"62101 Bridewell Dublin, D.M.R. North Central Division"
556,"62101 Bridewell Dublin, D.M.R. North Central Division"
557,"62101 Bridewell Dublin, D.M.R. North Central Division"
558,"62101 Bridewell Dublin, D.M.R. North Central Division"
559,"62101 Bridewell Dublin, D.M.R. North Central Division"
560,"62101 Bridewell Dublin, D.M.R. North Central Division"
561,"62101 Bridewell Dublin, D.M.R. North Central Division"
562,"62101 Bridewell Dublin, D.M.R. North Central Division"
563,"62101 Bridewell Dublin, D.M.R. North Central Division"
564,"65201 Cabinteely, D.M.R. Eastern Division"
565,"65201 Cabinteely, D.M.R. Eastern Division"
566,"65201 Cabinteely, D.M.R. Eastern Division"
567,"65201 Cabinteely, D.M.R. Eastern Division"
568,"65201 Cabinteely, D.M.R. Eastern Division"
569,"65201 Cabinteely, D.M.R. Eastern Division"
570,"65201 Cabinteely, D.M.R. Eastern Division"
571,"65201 Cabinteely, D.M.R. Eastern Division"
572,"65201 Cabinteely, D.M.R. Eastern Division"
573,"65201 Cabinteely, D.M.R. Eastern Division"
574,"65201 Cabinteely, D.M.R. Eastern Division"
575,"65201 Cabinteely, D.M.R. Eastern Division"
576,"66102 Cabra, D.M.R. Western Division"
577,"66102 Cabra, D.M.R. Western Division"
578,"66102 Cabra, D.M.R. Western Division"
579,"66102 Cabra, D.M.R. Western Division"
580,"66102 Cabra, D.M.R. Western Division"
581,"66102 Cabra, D.M.R. Western Division"
582,"66102 Cabra, D.M.R. Western Division"
583,"66102 Cabra, D.M.R. Western Division"
584,"66102 Cabra, D.M.R. Western Division"
585,"66102 Cabra, D.M.R. Western Division"
586,"66102 Cabra, D.M.R. Western Division"
587,"66102 Cabra, D.M.R. Western Division"
588,"66202 Clondalkin, D.M.R. Western Division"
589,"66202 Clondalkin, D.M.R. Western Division"
590,"66202 Clondalkin, D.M.R. Western Division"
591,"66202 Clondalkin, D.M.R. Western Division"
592,"66202 Clondalkin, D.M.R. Western Division"
593,"66202 Clondalkin, D.M.R. Western Division"
594,"66202 Clondalkin, D.M.R. Western Division"
595,"66202 Clondalkin, D.M.R. Western Division"
596,"66202 Clondalkin, D.M.R. Western Division"
597,"66202 Clondalkin, D.M.R. Western Division"
598,"66202 Clondalkin, D.M.R. Western Division"
599,"66202 Clondalkin, D.M.R. Western Division"
600,"63401 Clontarf, D.M.R. Northern Division"
601,"63401 Clontarf, D.M.R. Northern Division"
602,"63401 Clontarf, D.M.R. Northern Division"
603,"63401 Clontarf, D.M.R. Northern Division"
604,"63401 Clontarf, D.M.R. Northern Division"
605,"63401 Clontarf, D.M.R. Northern Division"
606,"63401 Clontarf, D.M.R. Northern Division"
607,"63401 Clontarf, D.M.R. Northern Division"
608,"63401 Clontarf, D.M.R. Northern Division"
609,"63401 Clontarf, D.M.R. Northern Division"
610,"63401 Clontarf, D.M.R. Northern Division"
611,"63401 Clontarf, D.M.R. Northern Division"
612,"63301 Coolock, D.M.R. Northern Division"
613,"63301 Coolock, D.M.R. Northern Division"
614,"63301 Coolock, D.M.R. Northern Division"
615,"63301 Coolock, D.M.R. Northern Division"
616,"63301 Coolock, D.M.R. Northern Division"
617,"63301 Coolock, D.M.R. Northern Division"
618,"63301 Coolock, D.M.R. Northern Division"
619,"63301 Coolock, D.M.R. Northern Division"
620,"63301 Coolock, D.M.R. Northern Division"
621,"63301 Coolock, D.M.R. Northern Division"
622,"63301 Coolock, D.M.R. Northern Division"
623,"63301 Coolock, D.M.R. Northern Division"
624,"64101 Crumlin, D.M.R. Southern Division"
625,"64101 Crumlin, D.M.R. Southern Division"
626,"64101 Crumlin, D.M.R. Southern Division"
627,"64101 Crumlin, D.M.R. Southern Division"
628,"64101 Crumlin, D.M.R. Southern Division"
629,"64101 Crumlin, D.M.R. Southern Division"
630,"64101 Crumlin, D.M.R. Southern Division"
631,"64101 Crumlin, D.M.R. Southern Division"
632,"64101 Crumlin, D.M.R. Southern Division"
633,"64101 Crumlin, D.M.R. Southern Division"
634,"64101 Crumlin, D.M.R. Southern Division"
635,"64101 Crumlin, D.M.R. Southern Division"
636,"61101 Donnybrook, D.M.R. South Central Division"
637,"61101 Donnybrook, D.M.R. South Central Division"
638,"61101 Donnybrook, D.M.R. South Central Division"
639,"61101 Donnybrook, D.M.R. South Central Division"
640,"61101 Donnybrook, D.M.R. South Central Division"
641,"61101 Donnybrook, D.M.R. South Central Division"
642,"61101 Donnybrook, D.M.R. South Central Division"
643,"61101 Donnybrook, D.M.R. South Central Division"
644,"61101 Donnybrook, D.M.R. South Central Division"
645,"61101 Donnybrook, D.M.R. South Central Division"
646,"61101 Donnybrook, D.M.R. South Central Division"
647,"61101 Donnybrook, D.M.R. South Central Division"
648,"63202 Dublin Airport, D.M.R. Northern Division"
649,"63202 Dublin Airport, D.M.R. Northern Division"
650,"63202 Dublin Airport, D.M.R. Northern Division"
651,"63202 Dublin Airport, D.M.R. Northern Division"
652,"63202 Dublin Airport, D.M.R. Northern Division"
653,"63202 Dublin Airport, D.M.R. Northern Division"
654,"63202 Dublin Airport, D.M.R. Northern Division"
655,"63202 Dublin Airport, D.M.R. Northern Division"
656,"63202 Dublin Airport, D.M.R. Northern Division"
657,"63202 Dublin Airport, D.M.R. Northern Division"
658,"63202 Dublin Airport, D.M.R. Northern Division"
659,"63202 Dublin Airport, D.M.R. Northern Division"
660,"65203 Dun Laoghaire, D.M.R. Eastern Division"
661,"65203 Dun Laoghaire, D.M.R. Eastern Division"
662,"65203 Dun Laoghaire, D.M.R. Eastern Division"
663,"65203 Dun Laoghaire, D.M.R. Eastern Division"
664,"65203 Dun Laoghaire, D.M.R. Eastern Division"
665,"65203 Dun Laoghaire, D.M.R. Eastern Division"
666,"65203 Dun Laoghaire, D.M.R. Eastern Division"
667,"65203 Dun Laoghaire, D.M.R. Eastern Division"
668,"65203 Dun Laoghaire, D.M.R. Eastern Division"
669,"65203 Dun Laoghaire, D.M.R. Eastern Division"
670,"65203 Dun Laoghaire, D.M.R. Eastern Division"
671,"65203 Dun Laoghaire, D.M.R. Eastern Division"
672,"65102 Dundrum, D.M.R. Eastern Division"
673,"65102 Dundrum, D.M.R. Eastern Division"
674,"65102 Dundrum, D.M.R. Eastern Division"
675,"65102 Dundrum, D.M.R. Eastern Division"
676,"65102 Dundrum, D.M.R. Eastern Division"
677,"65102 Dundrum, D.M.R. Eastern Division"
678,"65102 Dundrum, D.M.R. Eastern Division"
679,"65102 Dundrum, D.M.R. Eastern Division"
680,"65102 Dundrum, D.M.R. Eastern Division"
681,"65102 Dundrum, D.M.R. Eastern Division"
682,"65102 Dundrum, D.M.R. Eastern Division"
683,"65102 Dundrum, D.M.R. Eastern Division"
684,"66103 Finglas, D.M.R. Western Division"
685,"66103 Finglas, D.M.R. Western Division"
686,"66103 Finglas, D.M.R. Western Division"
687,"66103 Finglas, D.M.R. Western Division"
688,"66103 Finglas, D.M.R. Western Division"
689,"66103 Finglas, D.M.R. Western Division"
690,"66103 Finglas, D.M.R. Western Division"
691,"66103 Finglas, D.M.R. Western Division"
692,"66103 Finglas, D.M.R. Western Division"
693,"66103 Finglas, D.M.R. Western Division"
694,"66103 Finglas, D.M.R. Western Division"
695,"66103 Finglas, D.M.R. Western Division"
696,"62202 Fitzgibbon Street, D.M.R. North Central Division"
697,"62202 Fitzgibbon Street, D.M.R. North Central Division"
698,"62202 Fitzgibbon Street, D.M.R. North Central Division"
699,"62202 Fitzgibbon Street, D.M.R. North Central Division"
700,"62202 Fitzgibbon Street, D.M.R. North Central Division"
701,"62202 Fitzgibbon Street, D.M.R. North Central Division"
702,"62202 Fitzgibbon Street, D.M.R. North Central Division"
703,"62202 Fitzgibbon Street, D.M.R. North Central Division"
704,"62202 Fitzgibbon Street, D.M.R. North Central Division"
705,"62202 Fitzgibbon Street, D.M.R. North Central Division"
706,"62202 Fitzgibbon Street, D.M.R. North Central Division"
707,"62202 Fitzgibbon Street, D.M.R. North Central Division"
708,"63102 Garristown, D.M.R. Northern Division"
709,"63102 Garristown, D.M.R. Northern Division"
710,"63102 Garristown, D.M.R. Northern Division"
711,"63102 Garristown, D.M.R. Northern Division"
712,"63102 Garristown, D.M.R. Northern Division"
713,"63102 Garristown, D.M.R. Northern Division"
714,"63102 Garristown, D.M.R. Northern Division"
715,"63102 Garristown, D.M.R. Northern Division"
716,"63102 Garristown, D.M.R. Northern Division"
717,"63102 Garristown, D.M.R. Northern Division"
718,"63102 Garristown, D.M.R. Northern Division"
719,"63102 Garristown, D.M.R. Northern Division"
720,"63402 Howth, D.M.R. Northern Division"
721,"63402 Howth, D.M.R. Northern Division"
722,"63402 Howth, D.M.R. Northern Division"
723,"63402 Howth, D.M.R. Northern Division"
724,"63402 Howth, D.M.R. Northern Division"
725,"63402 Howth, D.M.R. Northern Division"
726,"63402 Howth, D.M.R. Northern Division"
727,"63402 Howth, D.M.R. Northern Division"
728,"63402 Howth, D.M.R. Northern Division"
729,"63402 Howth, D.M.R. Northern Division"
730,"63402 Howth, D.M.R. Northern Division"
731,"63402 Howth, D.M.R. Northern Division"
732,"61102 Irishtown, D.M.R. South Central Division"
733,"61102 Irishtown, D.M.R. South Central Division"
734,"61102 Irishtown, D.M.R. South Central Division"
735,"61102 Irishtown, D.M.R. South Central Division"
736,"61102 Irishtown, D.M.R. South Central Division"
737,"61102 Irishtown, D.M.R. South Central Division"
738,"61102 Irishtown, D.M.R. South Central Division"
739,"61102 Irishtown, D.M.R. South Central Division"
740,"61102 Irishtown, D.M.R. South Central Division"
741,"61102 Irishtown, D.M.R. South Central Division"
742,"61102 Irishtown, D.M.R. South Central Division"
743,"61102 Irishtown, D.M.R. South Central Division"
744,"61301 Kevin Street, D.M.R. South Central Division"
745,"61301 Kevin Street, D.M.R. South Central Division"
746,"61301 Kevin Street, D.M.R. South Central Division"
747,"61301 Kevin Street, D.M.R. South Central Division"
748,"61301 Kevin Street, D.M.R. South Central Division"
749,"61301 Kevin Street, D.M.R. South Central Division"
750,"61301 Kevin Street, D.M.R. South Central Division"
751,"61301 Kevin Street, D.M.R. South Central Division"
752,"61301 Kevin Street, D.M.R. South Central Division"
753,"61301 Kevin Street, D.M.R. South Central Division"
754,"61301 Kevin Street, D.M.R. South Central Division"
755,"61301 Kevin Street, D.M.R. South Central Division"
756,"61302 Kilmainham, D.M.R. South Central Division"
757,"61302 Kilmainham, D.M.R. South Central Division"
758,"61302 Kilmainham, D.M.R. South Central Division"
759,"61302 Kilmainham, D.M.R. South Central Division"
760,"61302 Kilmainham, D.M.R. South Central Division"
761,"61302 Kilmainham, D.M.R. South Central Division"
762,"61302 Kilmainham, D.M.R. South Central Division"
763,"61302 Kilmainham, D.M.R. South Central Division"
764,"61302 Kilmainham, D.M.R. South Central Division"
765,"61302 Kilmainham, D.M.R. South Central Division"
766,"61302 Kilmainham, D.M.R. South Central Division"
767,"61302 Kilmainham, D.M.R. South Central Division"
768,"66301 Lucan, D.M.R. Western Division"
769,"66301 Lucan, D.M.R. Western Division"
770,"66301 Lucan, D.M.R. Western Division"
771,"66301 Lucan, D.M.R. Western Division"
772,"66301 Lucan, D.M.R. Western Division"
773,"66301 Lucan, D.M.R. Western Division"
774,"66301 Lucan, D.M.R. Western Division"
775,"66301 Lucan, D.M.R. Western Division"
776,"66301 Lucan, D.M.R. Western Division"
777,"66301 Lucan, D.M.R. Western Division"
778,"66301 Lucan, D.M.R. Western Division"
779,"66301 Lucan, D.M.R. Western Division"
780,"63103 Lusk, D.M.R. Northern Division"
781,"63103 Lusk, D.M.R. Northern Division"
782,"63103 Lusk, D.M.R. Northern Division"
783,"63103 Lusk, D.M.R. Northern Division"
784,"63103 Lusk, D.M.R. Northern Division"
785,"63103 Lusk, D.M.R. Northern Division"
786,"63103 Lusk, D.M.R. Northern Division"
787,"63103 Lusk, D.M.R. Northern Division"
788,"63103 Lusk, D.M.R. Northern Division"
789,"63103 Lusk, D.M.R. Northern Division"
790,"63103 Lusk, D.M.R. Northern Division"
791,"63103 Lusk, D.M.R. Northern Division"
792,"63302 Malahide, D.M.R. Northern Division"
793,"63302 Malahide, D.M.R. Northern Division"
794,"63302 Malahide, D.M.R. Northern Division"
795,"63302 Malahide, D.M.R. Northern Division"
796,"63302 Malahide, D.M.R. Northern Division"
797,"63302 Malahide, D.M.R. Northern Division"
798,"63302 Malahide, D.M.R. Northern Division"
799,"63302 Malahide, D.M.R. Northern Division"
800,"63302 Malahide, D.M.R. Northern Division"
801,"63302 Malahide, D.M.R. Northern Division"
802,"63302 Malahide, D.M.R. Northern Division"
803,"63302 Malahide, D.M.R. Northern Division"
804,"62203 Mountjoy, D.M.R. North Central Division"
805,"62203 Mountjoy, D.M.R. North Central Division"
806,"62203 Mountjoy, D.M.R. North Central Division"
807,"62203 Mountjoy, D.M.R. North Central Division"
808,"62203 Mountjoy, D.M.R. North Central Division"
809,"62203 Mountjoy, D.M.R. North Central Division"
810,"62203 Mountjoy, D.M.R. North Central Division"
811,"62203 Mountjoy, D.M.R. North Central Division"
812,"62203 Mountjoy, D.M.R. North Central Division"
813,"62203 Mountjoy, D.M.R. North Central Division"
814,"62203 Mountjoy, D.M.R. North Central Division"
815,"62203 Mountjoy, D.M.R. North Central Division"
816,"61202 Pearse Street, D.M.R. South Central Division"
817,"61202 Pearse Street, D.M.R. South Central Division"
818,"61202 Pearse Street, D.M.R. South Central Division"
819,"61202 Pearse Street, D.M.R. South Central Division"
820,"61202 Pearse Street, D.M.R. South Central Division"
821,"61202 Pearse Street, D.M.R. South Central Division"
822,"61202 Pearse Street, D.M.R. South Central Division"
823,"61202 Pearse Street, D.M.R. South Central Division"
824,"61202 Pearse Street, D.M.R. South Central Division"
825,"61202 Pearse Street, D.M.R. South Central Division"
826,"61202 Pearse Street, D.M.R. South Central Division"
827,"61202 Pearse Street, D.M.R. South Central Division"
828,"63403 Raheny, D.M.R. Northern Division"
829,"63403 Raheny, D.M.R. Northern Division"
830,"63403 Raheny, D.M.R. Northern Division"
831,"63403 Raheny, D.M.R. Northern Division"
832,"63403 Raheny, D.M.R. Northern Division"
833,"63403 Raheny, D.M.R. Northern Division"
834,"63403 Raheny, D.M.R. Northern Division"
835,"63403 Raheny, D.M.R. Northern Division"
836,"63403 Raheny, D.M.R. Northern Division"
837,"63403 Raheny, D.M.R. Northern Division"
838,"63403 Raheny, D.M.R. Northern Division"
839,"63403 Raheny, D.M.R. Northern Division"
840,"66203 Rathcoole, D.M.R. Western Division"
841,"66203 Rathcoole, D.M.R. Western Division"
842,"66203 Rathcoole, D.M.R. Western Division"
843,"66203 Rathcoole, D.M.R. Western Division"
844,"66203 Rathcoole, D.M.R. Western Division"
845,"66203 Rathcoole, D.M.R. Western Division"
846,"66203 Rathcoole, D.M.R. Western Division"
847,"66203 Rathcoole, D.M.R. Western Division"
848,"66203 Rathcoole, D.M.R. Western Division"
849,"66203 Rathcoole, D.M.R. Western Division"
850,"66203 Rathcoole, D.M.R. Western Division"
851,"66203 Rathcoole, D.M.R. Western Division"
852,"64201 Rathfarnham, D.M.R. Southern Division"
853,"64201 Rathfarnham, D.M.R. Southern Division"
854,"64201 Rathfarnham, D.M.R. Southern Division"
855,"64201 Rathfarnham, D.M.R. Southern Division"
856,"64201 Rathfarnham, D.M.R. Southern Division"
857,"64201 Rathfarnham, D.M.R. Southern Division"
858,"64201 Rathfarnham, D.M.R. Southern Division"
859,"64201 Rathfarnham, D.M.R. Southern Division"
860,"64201 Rathfarnham, D.M.R. Southern Division"
861,"64201 Rathfarnham, D.M.R. Southern Division"
862,"64201 Rathfarnham, D.M.R. Southern Division"
863,"64201 Rathfarnham, D.M.R. Southern Division"
864,"64301 Rathmines, D.M.R. Southern Division"
865,"64301 Rathmines, D.M.R. Southern Division"
866,"64301 Rathmines, D.M.R. Southern Division"
867,"64301 Rathmines, D.M.R. Southern Division"
868,"64301 Rathmines, D.M.R. Southern Division"
869,"64301 Rathmines, D.M.R. Southern Division"
870,"64301 Rathmines, D.M.R. Southern Division"
871,"64301 Rathmines, D.M.R. Southern Division"
872,"64301 Rathmines, D.M.R. Southern Division"
873,"64301 Rathmines, D.M.R. Southern Division"
874,"64301 Rathmines, D.M.R. Southern Division"
875,"64301 Rathmines, D.M.R. Southern Division"
876,"66302 Ronanstown, D.M.R. Western Division"
877,"66302 Ronanstown, D.M.R. Western Division"
878,"66302 Ronanstown, D.M.R. Western Division"
879,"66302 Ronanstown, D.M.R. Western Division"
880,"66302 Ronanstown, D.M.R. Western Division"
881,"66302 Ronanstown, D.M.R. Western Division"
882,"66302 Ronanstown, D.M.R. Western Division"
883,"66302 Ronanstown, D.M.R. Western Division"
884,"66302 Ronanstown, D.M.R. Western Division"
885,"66302 Ronanstown, D.M.R. Western Division"
886,"66302 Ronanstown, D.M.R. Western Division"
887,"66302 Ronanstown, D.M.R. Western Division"
888,"63203 Santry, D.M.R. Northern Division"
889,"63203 Santry, D.M.R. Northern Division"
890,"63203 Santry, D.M.R. Northern Division"
891,"63203 Santry, D.M.R. Northern Division"
892,"63203 Santry, D.M.R. Northern Division"
893,"63203 Santry, D.M.R. Northern Division"
894,"63203 Santry, D.M.R. Northern Division"
895,"63203 Santry, D.M.R. Northern Division"
896,"63203 Santry, D.M.R. Northern Division"
897,"63203 Santry, D.M.R. Northern Division"
898,"63203 Santry, D.M.R. Northern Division"
899,"63203 Santry, D.M.R. Northern Division"
900,"65205 Shankill, D.M.R. Eastern Division"
901,"65205 Shankill, D.M.R. Eastern Division"
902,"65205 Shankill, D.M.R. Eastern Division"
903,"65205 Shankill, D.M.R. Eastern Division"
904,"65205 Shankill, D.M.R. Eastern Division"
905,"65205 Shankill, D.M.R. Eastern Division"
906,"65205 Shankill, D.M.R. Eastern Division"
907,"65205 Shankill, D.M.R. Eastern Division"
908,"65205 Shankill, D.M.R. Eastern Division"
909,"65205 Shankill, D.M.R. Eastern Division"
910,"65205 Shankill, D.M.R. Eastern Division"
911,"65205 Shankill, D.M.R. Eastern Division"
912,"63105 Skerries, D.M.R. Northern Division"
913,"63105 Skerries, D.M.R. Northern Division"
914,"63105 Skerries, D.M.R. Northern Division"
915,"63105 Skerries, D.M.R. Northern Division"
916,"63105 Skerries, D.M.R. Northern Division"
917,"63105 Skerries, D.M.R. Northern Division"
918,"63105 Skerries, D.M.R. Northern Division"
919,"63105 Skerries, D.M.R. Northern Division"
920,"63105 Skerries, D.M.R. Northern Division"
921,"63105 Skerries, D.M.R. Northern Division"
922,"63105 Skerries, D.M.R. Northern Division"
923,"63105 Skerries, D.M.R. Northern Division"
924,"62301 Store Street, D.M.R. North Central Division"
925,"62301 Store Street, D.M.R. North Central Division"
926,"62301 Store Street, D.M.R. North Central Division"
927,"62301 Store Street, D.M.R. North Central Division"
928,"62301 Store Street, D.M.R. North Central Division"
929,"62301 Store Street, D.M.R. North Central Division"
930,"62301 Store Street, D.M.R. North Central Division"
931,"62301 Store Street, D.M.R. North Central Division"
932,"62301 Store Street, D.M.R. North Central Division"
933,"62301 Store Street, D.M.R. North Central Division"
934,"62301 Store Street, D.M.R. North Central Division"
935,"62301 Store Street, D.M.R. North Central Division"
936,"64102 Sundrive Road, D.M.R. Southern Division"
937,"64102 Sundrive Road, D.M.R. Southern Division"
938,"64102 Sundrive Road, D.M.R. Southern Division"
939,"64102 Sundrive Road, D.M.R. Southern Division"
940,"64102 Sundrive Road, D.M.R. Southern Division"
941,"64102 Sundrive Road, D.M.R. Southern Division"
942,"64102 Sundrive Road, D.M.R. Southern Division"
943,"64102 Sundrive Road, D.M.R. Southern Division"
944,"64102 Sundrive Road, D.M.R. Southern Division"
945,"64102 Sundrive Road, D.M.R. Southern Division"
946,"64102 Sundrive Road, D.M.R. Southern Division"
947,"64102 Sundrive Road, D.M.R. Southern Division"
948,"63303 Swords, D.M.R. Northern Division"
949,"63303 Swords, D.M.R. Northern Division"
950,"63303 Swords, D.M.R. Northern Division"
951,"63303 Swords, D.M.R. Northern Division"
952,"63303 Swords, D.M.R. Northern Division"
953,"63303 Swords, D.M.R. Northern Division"
954,"63303 Swords, D.M.R. Northern Division"
955,"63303 Swords, D.M.R. Northern Division"
956,"63303 Swords, D.M.R. Northern Division"
957,"63303 Swords, D.M.R. Northern Division"
958,"63303 Swords, D.M.R. Northern Division"
959,"63303 Swords, D.M.R. Northern Division"
960,"64202 Tallaght, D.M.R. Southern Division"
961,"64202 Tallaght, D.M.R. Southern Division"
962,"64202 Tallaght, D.M.R. Southern Division"
963,"64202 Tallaght, D.M.R. Southern Division"
964,"64202 Tallaght, D.M.R. Southern Division"
965,"64202 Tallaght, D.M.R. Southern Division"
966,"64202 Tallaght, D.M.R. Southern Division"
967,"64202 Tallaght, D.M.R. Southern Division"
968,"64202 Tallaght, D.M.R. Southern Division"
969,"64202 Tallaght, D.M.R. Southern Division"
970,"64202 Tallaght, D.M.R. Southern Division"
971,"64202 Tallaght, D.M.R. Southern Division"
972,"64302 Terenure, D.M.R. Southern Division"
973,"64302 Terenure, D.M.R. Southern Division"
974,"64302 Terenure, D.M.R. Southern Division"
975,"64302 Terenure, D.M.R. Southern Division"
976,"64302 Terenure, D.M.R. Southern Division"
977,"64302 Terenure, D.M.R. Southern Division"
978,"64302 Terenure, D.M.R. Southern Division"
979,"64302 Terenure, D.M.R. Southern Division"
980,"64302 Terenure, D.M.R. Southern Division"
981,"64302 Terenure, D.M.R. Southern Division"
982,"64302 Terenure, D.M.R. Southern Division"
983,"64302 Terenure, D.M.R. Southern Division"
984,"63101 Balbriggan, D.M.R. Northern Division"
985,"63101 Balbriggan, D.M.R. Northern Division"
986,"63101 Balbriggan, D.M.R. Northern Division"
987,"63101 Balbriggan, D.M.R. Northern Division"
988,"63101 Balbriggan, D.M.R. Northern Division"
989,"63101 Balbriggan, D.M.R. Northern Division"
990,"63101 Balbriggan, D.M.R. Northern Division"
991,"63101 Balbriggan, D.M.R. Northern Division"
992,"63101 Balbriggan, D.M.R. Northern Division"
993,"63101 Balbriggan, D.M.R. Northern Division"
994,"63101 Balbriggan, D.M.R. Northern Division"
995,"63101 Balbriggan, D.M.R. Northern Division"
996,"66201 Ballyfermot, D.M.R. Western Division"
997,"66201 Ballyfermot, D.M.R. Western Division"
998,"66201 Ballyfermot, D.M.R. Western Division"
999,"66201 Ballyfermot, D.M.R. Western Division"
1000,"66201 Ballyfermot, D.M.R. Western Division"
1001,"66201 Ballyfermot, D.M.R. Western Division"
1002,"66201 Ballyfermot, D.M.R. Western Division"
1003,"66201 Ballyfermot, D.M.R. Western Division"
1004,"66201 Ballyfermot, D.M.R. Western Division"
1005,"66201 Ballyfermot, D.M.R. Western Division"
1006,"66201 Ballyfermot, D.M.R. Western Division"
1007,"66201 Ballyfermot, D.M.R. Western Division"
1008,"63201 Ballymun, D.M.R. Northern Division"
1009,"63201 Ballymun, D.M.R. Northern Division"
1010,"63201 Ballymun, D.M.R. Northern Division"
1011,"63201 Ballymun, D.M.R. Northern Division"
1012,"63201 Ballymun, D.M.R. Northern Division"
1013,"63201 Ballymun, D.M.R. Northern Division"
1014,"63201 Ballymun, D.M.R. Northern Division"
1015,"63201 Ballymun, D.M.R. Northern Division"
1016,"63201 Ballymun, D.M.R. Northern Division"
1017,"63201 Ballymun, D.M.R. Northern Division"
1018,"63201 Ballymun, D.M.R. Northern Division"
1019,"63201 Ballymun, D.M.R. Northern Division"
1020,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1021,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1022,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1023,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1024,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1025,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1026,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1027,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1028,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1029,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1030,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1031,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
1032,"66101 Blanchardstown, D.M.R. Western Division"
1033,"66101 Blanchardstown, D.M.R. Western Division"
1034,"66101 Blanchardstown, D.M.R. Western Division"
1035,"66101 Blanchardstown, D.M.R. Western Division"
1036,"66101 Blanchardstown, D.M.R. Western Division"
1037,"66101 Blanchardstown, D.M.R. Western Division"
1038,"66101 Blanchardstown, D.M.R. Western Division"
1039,"66101 Blanchardstown, D.M.R. Western Division"
1040,"66101 Blanchardstown, D.M.R. Western Division"
1041,"66101 Blanchardstown, D.M.R. Western Division"
1042,"66101 Blanchardstown, D.M.R. Western Division"
1043,"66101 Blanchardstown, D.M.R. Western Division"
1044,"62101 Bridewell Dublin, D.M.R. North Central Division"
1045,"62101 Bridewell Dublin, D.M.R. North Central Division"
1046,"62101 Bridewell Dublin, D.M.R. North Central Division"
1047,"62101 Bridewell Dublin, D.M.R. North Central Division"
1048,"62101 Bridewell Dublin, D.M.R. North Central Division"
1049,"62101 Bridewell Dublin, D.M.R. North Central Division"
1050,"62101 Bridewell Dublin, D.M.R. North Central Division"
1051,"62101 Bridewell Dublin, D.M.R. North Central Division"
1052,"62101 Bridewell Dublin, D.M.R. North Central Division"
1053,"62101 Bridewell Dublin, D.M.R. North Central Division"
1054,"62101 Bridewell Dublin, D.M.R. North Central Division"
1055,"62101 Bridewell Dublin, D.M.R. North Central Division"
1056,"65201 Cabinteely, D.M.R. Eastern Division"
1057,"65201 Cabinteely, D.M.R. Eastern Division"
1058,"65201 Cabinteely, D.M.R. Eastern Division"
1059,"65201 Cabinteely, D.M.R. Eastern Division"
1060,"65201 Cabinteely, D.M.R. Eastern Division"
1061,"65201 Cabinteely, D.M.R. Eastern Division"
1062,"65201 Cabinteely, D.M.R. Eastern Division"
1063,"65201 Cabinteely, D.M.R. Eastern Division"
1064,"65201 Cabinteely, D.M.R. Eastern Division"
1065,"65201 Cabinteely, D.M.R. Eastern Division"
1066,"65201 Cabinteely, D.M.R. Eastern Division"
1067,"65201 Cabinteely, D.M.R. Eastern Division"
1068,"66102 Cabra, D.M.R. Western Division"
1069,"66102 Cabra, D.M.R. Western Division"
1070,"66102 Cabra, D.M.R. Western Division"
1071,"66102 Cabra, D.M.R. Western Division"
1072,"66102 Cabra, D.M.R. Western Division"
1073,"66102 Cabra, D.M.R. Western Division"
1074,"66102 Cabra, D.M.R. Western Division"
1075,"66102 Cabra, D.M.R. Western Division"
1076,"66102 Cabra, D.M.R. Western Division"
1077,"66102 Cabra, D.M.R. Western Division"
1078,"66102 Cabra, D.M.R. Western Division"
1079,"66102 Cabra, D.M.R. Western Division"
1080,"66202 Clondalkin, D.M.R. Western Division"
1081,"66202 Clondalkin, D.M.R. Western Division"
1082,"66202 Clondalkin, D.M.R. Western Division"
1083,"66202 Clondalkin, D.M.R. Western Division"
1084,"66202 Clondalkin, D.M.R. Western Division"
1085,"66202 Clondalkin, D.M.R. Western Division"
1086,"66202 Clondalkin, D.M.R. Western Division"
1087,"66202 Clondalkin, D.M.R. Western Division"
1088,"66202 Clondalkin, D.M.R. Western Division"
