ID,Latitude,Longitude,Type
8220DB001738,53.36345088,-6.223914334,Bus Stop
8220DB007516,53.40207591,-6.171727025,Bus Stop
8220DB000592,53.38273301,-6.148382872000001,Bus Stop
8220DB001228,53.39242898,-6.218512737,Bus Stop
8220DB001237,53.39267868,-6.218983472000001,Bus Stop
8220DB000497,53.35052608,-6.250694342999999,Bus Stop
8220B1351201,53.35021802,-6.250526702,Bus Stop
8220DB004415,53.35053898,-6.2503483210000015,Bus Stop
8220DB001500,53.35103959,-6.250162577999999,Bus Stop
8220000432,53.31258441,-6.201563611,Bus Stop
8220000431,53.31279621,-6.201899898,Bus Stop
8220000430,53.32567589,-6.207243322,Bus Stop
8220000429,53.32561617,-6.207456005,Bus Stop
8220000428,53.33214934,-6.210365252000001,Bus Stop
8220000427,53.33207164,-6.210578715,Bus Stop
8220DB000770,53.31463619,-6.225731811,Bus Stop
8220DB007608,53.35282373,-6.257225072000001,Bus Stop
8220DB007590,53.35260728,-6.257789725,Bus Stop
8220000415,53.3834495,-6.243962934,Bus Stop
8220000410,53.34002044,-6.2581677560000015,Bus Stop
8220000409,53.34002745,-6.258648039,Bus Stop
8220B1353301,53.34013437,-6.2585836110000015,Bus Stop
8220000408,53.34721278,-6.260758431,Bus Stop
8220000390,53.32031492,-6.233482017,Bus Stop
8220000389,53.31997789,-6.233180712,Bus Stop
8220000386,53.33723056,-6.239555502000001,Bus Stop
8220000384,53.32629197,-6.242603177,Bus Stop
8220000383,53.32555243,-6.241822888,Bus Stop
8220000382,53.3296294,-6.2489070510000015,Bus Stop
8220000381,53.32881799,-6.247513971,Bus Stop
8220000380,53.33547031,-6.256175849,Bus Stop
8220000379,53.33535617,-6.2563607,Bus Stop
8220000377,53.33119942,-6.252386204,Bus Stop
8220000376,53.36387318,-6.257435245,Bus Stop
8220000375,53.36297031,-6.258388667999999,Bus Stop
8220000372,53.35079068,-6.226003017000001,Bus Stop
8220DB001359,53.34439941,-6.26136859,Bus Stop
8220000370,53.34439963,-6.261383601,Bus Stop
8220DB004522,53.34426249,-6.26060818,Bus Stop
8220DB001279,53.34426049,-6.261704666,Bus Stop
8220DB001278,53.34423662,-6.261300117999999,Bus Stop
8220PB002155,53.34423684,-6.261315128,Bus Stop
8220DB004521,53.34430106,-6.260171051,Bus Stop
8220000302,53.38624023,-6.296993292000001,Bus Stop
