stop_id,stop_name,stop_lat,stop_lon
843GIR0099,Tipperary,52.47047312,-8.16166382
843GIR0100,Limerick Junction,52.50100164,-8.199936872
843GIR0102,Cahir,52.37769928,-7.921819758
843GIR0103,"Carrick-on-Suir, Carrick-on-Suir",52.34898027,-7.404404321
843GIR0105,Clonmel,52.36105619,-7.699538006
844GIR0106,Waterford,52.26639048,-7.118137175
846GIR0044,Galway,53.27364566,-9.046808655
847G000062,Oranmore Train Station,53.27625429,-8.94426799
847GIR0042,Ardrahan,53.1572369,-8.814767932
847GIR0043,Athenry,53.30169339,-8.748532446
847GIR0045,Gort,53.06729453,-8.814054268
847GIR0046,Ballinasloe,53.33645056,-8.23982723
847GIR0047,Attymon,53.32131269,-8.606000178
847GIR0048,Woodlawn,53.34315597,-8.471606695
847GIR0049,Craughwell,53.22638686,-8.735896389
848GIR0069,Dromod,53.85911327,-7.916409699
848GIR0070,Carrick on Shannon,53.93832528,-8.106791214
849GIR0076,Ballina,54.10903292,-9.160845578
849GIR0077,Manulla Junction,53.82778624,-9.192353241
849GIR0078,Westport,53.79614062,-9.510042635
849GIR0079,Ballyhaunis,53.76164889,-8.758780889
849GIR0080,Foxford,53.98289009,-9.136416142
849GIR0081,"Castlebar, Castlebar",53.84744589,-9.288308834
849GIR0082,Claremorris,53.72067828,-9.002256246
850GIR0089,Roscommon,53.62434843,-8.196272926
850GIR0090,Boyle,53.96753266,-8.304610775
850GIR0091,Castlerea,53.76152957,-8.485714757
851GIR0092,Sligo,54.2720223,-8.481918164
851GIR0093,Ballymote,54.08819127,-8.52077926
851GIR0094,Collooney,54.18651578,-8.494880644
g:31400:11,"Belfast City Centre, Lanyon Place",54.59552967,-5.91733062
